label	group	precision	recall
5	9	0.8738	0.867
3	9	0.5225	0.891
4	9	0.3774	0.916
9	9	0.2479	0.943
1	9	0.1930	0.963
0	9	0.1743	0.973
8	9	0.1606	0.979
2	9	0.1344	0.993
6	9	0.1222	0.999
7	9	0.1183	1.000
7	8	0.7910	0.811
4	8	0.2355	0.862
2	8	0.1106	0.925
6	8	0.0848	0.952
9	8	0.0599	0.974
8	8	0.0540	0.980
3	8	0.0475	0.987
0	8	0.0432	0.991
5	8	0.0375	0.995
1	8	0.0323	1.000
3	7	0.6967	0.639
4	7	0.4463	0.822
5	7	0.2795	0.871
9	7	0.1894	0.925
6	7	0.1608	0.948
7	7	0.1526	0.954
8	7	0.1393	0.963
2	7	0.1149	0.985
0	7	0.1061	0.990
1	7	0.0921	1.000
0	6	0.2516	0.211
4	6	0.2049	0.381
8	6	0.1845	0.477
2	6	0.1622	0.715
3	6	0.1495	0.809
7	6	0.1431	0.832
1	6	0.1231	0.922
6	6	0.1119	0.963
5	6	0.0980	0.980
9	6	0.0837	1.000
0	5	0.3295	0.254
9	5	0.2369	0.607
4	5	0.2112	0.739
8	5	0.1899	0.791
7	5	0.1797	0.814
6	5	0.1547	0.859
3	5	0.1383	0.896
2	5	0.1161	0.946
5	5	0.1028	0.971
1	5	0.0910	1.000
6	4	0.8312	0.785
4	4	0.4599	0.833
9	4	0.2627	0.911
0	4	0.2232	0.934
2	4	0.1683	0.965
7	4	0.1595	0.968
3	4	0.1407	0.975
1	4	0.1180	0.986
5	4	0.1042	0.995
8	4	0.0983	1.000
1	3	0.5713	0.693
9	3	0.3339	0.874
0	3	0.2880	0.928
8	3	0.2523	0.945
4	3	0.2136	0.957
2	3	0.1684	0.976
3	3	0.1511	0.986
5	3	0.1319	0.994
6	3	0.1198	0.998
7	3	0.1160	1.000
8	2	0.6287	0.663
0	2	0.3434	0.780
3	2	0.2308	0.862
4	2	0.1768	0.922
1	2	0.1241	0.950
9	2	0.0922	0.966
5	2	0.0781	0.978
2	2	0.0655	0.992
7	2	0.0632	0.994
6	2	0.0577	1.000
2	1	0.7115	0.565
1	1	0.5021	0.767
9	1	0.3838	0.912
3	1	0.3307	0.932
0	1	0.2975	0.947
8	1	0.2739	0.959
4	1	0.2469	0.974
7	1	0.2380	0.980
5	1	0.2097	0.992
6	1	0.1918	1.000
9	0	0.3855	0.529
4	0	0.3539	0.740
0	0	0.3053	0.819
8	0	0.2653	0.847
2	0	0.2041	0.914
1	0	0.1689	0.956
6	0	0.1513	0.975
5	0	0.1331	0.990
7	0	0.1288	0.993
3	0	0.1187	1.000
