# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	27291531	8578089	19613784	18253700	6452116	67153187	51282293	1442800	296700	3459100	0	203823300
1	14656921	112496539	4666000	233246461	3200224	7708100	22033895	2699900	469700	7066756	0	408244496
2	22792541	314237188	2343700	6194115	8801300	13375914	57690360	5757600	5894817	4559512	0	441647047
3	2451400	10897400	13713641	3415900	1978100	9837932	22955451	170724836	708100	8382400	0	245065160
4	72622293	8625779	9985200	3987800	13853207	34909762	41168481	49072055	4844016	8389625	0	247458218
5	4952800	6659472	1880500	2727000	2593300	6431900	4291700	13034000	414600	297616660	0	340601932
6	6556200	4390412	923700	1535500	223804651	11682329	9746800	6051558	2551782	2023700	0	269266632
7	1153000	3270555	483442	546700	902000	6073100	5403268	1764200	76086906	507400	0	96190571
8	9813078	6489005	111026355	5835100	1339400	13800573	23379453	2347900	547200	2028300	0	176606364
9	182211954	80828790	2771900	60915187	22267376	93114075	4775600	14426093	2037175	9335600	0	472683750
