label	group	precision	recall
5	9	0.2268	0.704
7	9	0.2211	0.820
0	9	0.2172	0.856
6	9	0.1999	0.931
9	9	0.1963	0.949
1	9	0.1907	0.954
3	9	0.1612	0.982
4	9	0.1552	0.986
8	9	0.1343	0.997
2	9	0.1266	1.000
9	8	0.3476	0.374
1	8	0.2538	0.525
4	8	0.1652	0.597
8	8	0.0780	0.779
6	8	0.0617	0.881
2	8	0.0532	0.913
0	8	0.0498	0.923
3	8	0.0385	0.965
7	8	0.0340	0.976
5	8	0.0212	1.000
3	7	0.1382	0.412
8	7	0.0989	0.583
0	7	0.0950	0.619
6	7	0.0848	0.718
5	7	0.0580	0.982
2	7	0.0543	0.992
4	7	0.0525	0.996
1	7	0.0514	0.997
7	7	0.0475	0.999
9	7	0.0464	1.000
6	6	0.5615	0.635
7	6	0.3921	0.820
4	6	0.3374	0.843
3	6	0.2103	0.888
0	6	0.1957	0.897
2	6	0.1712	0.914
1	6	0.1641	0.920
9	6	0.1570	0.924
8	6	0.1258	0.952
5	6	0.0802	1.000
9	5	0.2670	0.142
3	5	0.1528	0.576
0	5	0.1386	0.616
4	5	0.1240	0.647
5	5	0.0653	0.940
6	5	0.0583	0.964
7	5	0.0537	0.984
1	5	0.0524	0.987
2	5	0.0490	0.992
8	5	0.0427	1.000
1	4	0.4553	0.170
2	4	0.3803	0.554
0	4	0.3026	0.597
6	4	0.1874	0.673
5	4	0.0872	0.922
7	4	0.0804	0.961
9	4	0.0782	0.967
3	4	0.0667	0.989
4	4	0.0644	0.992
8	4	0.0562	1.000
0	3	0.3692	0.235
1	3	0.2603	0.286
3	3	0.1449	0.598
7	3	0.1175	0.684
2	3	0.1049	0.751
8	3	0.0811	0.820
5	3	0.0530	0.993
9	3	0.0517	0.995
6	3	0.0471	0.999
4	3	0.0456	1.000
8	2	0.8266	0.221
5	2	0.6830	0.714
3	2	0.6468	0.854
7	2	0.6317	0.930
2	2	0.6034	0.961
0	2	0.5876	0.970
6	2	0.5426	0.993
4	2	0.5263	0.997
9	2	0.5148	0.999
1	2	0.5046	1.000
4	1	0.4339	0.404
2	1	0.2495	0.664
1	1	0.2108	0.686
3	1	0.1127	0.809
8	1	0.0831	0.915
0	1	0.0787	0.932
6	1	0.0671	0.967
7	1	0.0586	0.973
9	1	0.0565	0.975
5	1	0.0352	1.000
4	0	0.3265	0.259
9	0	0.2797	0.375
1	0	0.2462	0.456
2	0	0.1969	0.654
0	0	0.1752	0.705
6	0	0.1335	0.829
3	0	0.0929	0.888
7	0	0.0805	0.918
5	0	0.0474	0.990
8	0	0.0414	1.000
