label	group	precision	recall
3	7	0.3342	0.3428
0	7	0.3065	0.4619
8	7	0.2810	0.6951
5	7	0.2492	0.7438
1	7	0.1054	0.9561
9	7	0.1020	0.9672
7	7	0.0945	0.9806
2	7	0.0910	0.9870
6	7	0.0869	0.9937
4	7	0.0770	1.0000
2	1	0.1941	0.3380
7	1	0.1339	0.6732
9	1	0.1248	0.8151
0	1	0.1103	0.9151
6	1	0.0923	0.9618
8	1	0.0694	0.9702
4	1	0.0496	0.9766
5	1	0.0454	0.9783
1	1	0.0227	0.9972
3	1	0.0210	1.0000
5	3	0.3233	0.0920
8	3	0.2802	0.2306
3	3	0.2625	0.3662
6	3	0.2571	0.4417
4	3	0.2364	0.6111
1	3	0.1595	0.9533
0	3	0.1569	0.9799
2	3	0.1522	0.9903
9	3	0.1475	0.9935
7	3	0.1382	1.0000
9	6	0.2413	0.0841
2	6	0.2367	0.1779
6	6	0.2350	0.2924
8	6	0.2036	0.4205
3	6	0.1783	0.5236
1	6	0.1137	0.9219
0	6	0.1112	0.9470
7	6	0.1057	0.9800
4	6	0.0942	0.9980
5	6	0.0907	1.0000
6	2	0.4432	0.3253
7	2	0.2971	0.5546
2	2	0.2465	0.6083
1	2	0.0932	0.9468
5	2	0.0899	0.9722
8	2	0.0826	0.9936
9	2	0.0793	0.9949
3	2	0.0721	0.9981
0	2	0.0691	0.9986
4	2	0.0609	1.0000
5	0	0.3322	0.4501
8	0	0.1694	0.6640
2	0	0.1430	0.7407
4	0	0.0968	0.9011
6	0	0.0856	0.9288
3	0	0.0704	0.9557
7	0	0.0614	0.9790
9	0	0.0577	0.9826
1	0	0.0301	0.9997
0	0	0.0290	1.0000
1	8	0.2371	0.8226
0	8	0.2291	0.8577
4	8	0.2051	0.9501
8	8	0.1894	0.9818
9	8	0.1821	0.9866
6	8	0.1726	0.9920
7	8	0.1590	0.9953
3	8	0.1459	0.9986
2	8	0.1405	0.9997
5	8	0.1350	1.0000
2	4	0.3145	0.3509
9	4	0.2666	0.5545
8	4	0.1918	0.8347
3	4	0.1306	0.8833
4	4	0.0895	0.9322
0	4	0.0819	0.9464
5	4	0.0752	0.9585
7	4	0.0658	0.9782
6	4	0.0604	0.9802
1	4	0.0328	1.0000
4	5	0.6269	0.1913
7	5	0.6057	0.2913
1	5	0.5319	0.8903
9	5	0.5250	0.9211
3	5	0.4912	0.9606
5	5	0.4759	0.9783
8	5	0.4408	0.9898
0	5	0.4249	0.9942
2	5	0.4105	0.9986
6	5	0.3927	1.0000
0	9	0.3464	0.5636
3	9	0.1616	0.8235
7	9	0.1124	0.9134
5	9	0.0956	0.9417
6	9	0.0813	0.9604
2	9	0.0721	0.9671
9	9	0.0657	0.9725
4	9	0.0490	0.9826
8	9	0.0423	0.9856
1	9	0.0228	1.0000
