# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	23674	6091923	87277	10658957	1351282	5088023	6623331	26605682	13764486	37257355	0	107551990
1	1439683	1150987	59801602	137214789	1881545	682588633	104757549	47434065	322278815	949700	0	1359497368
2	6456201	20589607	9475335	4191546	33358994	5005043	24683461	1423157	443979	442437	0	106069760
3	2262578	169775	566090	54350818	4620443	45082297	27121523	76610111	1292405	17182250	0	229258290
4	13506655	391945	249320	67917736	4649065	217951693	4747687	1417084	36169366	672662	0	347673213
5	37890923	103491	4481925	36881992	1150455	20158318	520075	10897727	104686	1873309	0	114062901
6	2331620	2846296	57461228	30286264	193668	1575762	30125132	1487475	2103112	1231671	0	129642228
7	1958893	20420686	40526162	2618416	1867438	113909338	8661486	2990714	1292449	5943973	0	200189555
8	18011713	509904	3784649	55589476	26637251	13044921	33688570	52102379	12438835	198099	0	216005797
9	306984	8647621	232634	1257306	19347434	34991447	22115675	2491947	1888989	357140	0	91637177
