# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	6351006	6725984	17184613	35933182	3293186	148596888	39912815	43068397	37915410	5520237	0	344501718
1	13277792	9523654	32828453	95111985	13800429	222542338	43989296	40648791	69625489	15125002	0	556473229
2	3116266	1197663	6044144	17875262	1304316	99261708	6664305	3867344	26344086	1733128	0	167408222
3	4855388	11520011	27953532	41277145	2781789	139865505	36087539	14655510	55831301	1829743	0	336657463
4	12915682	6111309	14413298	31800647	26037990	77339780	40711289	27652751	42972929	5235999	0	285191674
5	12529248	5486270	24868937	38157595	2677183	100515738	19683926	18287894	37619452	4260629	0	264086872
6	4243081	1113489	10755527	39934305	4531422	102947144	13075752	17078731	44232842	4815008	0	242727301
7	14746065	3242065	18634648	42371993	10465542	89201169	26398852	27594892	27371760	7293956	0	267320942
8	3009261	12811683	2396204	8538579	6645936	28042282	4418540	5951419	6562048	15475044	0	93850996
9	9145104	3190060	21586846	49966539	23519714	131082544	32102130	24654593	43301705	4819818	0	343369053
