label	group	precision	recall
1	3	0.1709	0.2372
6	3	0.1690	0.3368
7	3	0.1664	0.4425
9	3	0.1613	0.5671
5	3	0.1586	0.6623
3	3	0.1526	0.7652
4	3	0.1475	0.8445
2	3	0.1447	0.8891
0	3	0.1398	0.9787
8	3	0.1382	1.0000
8	9	0.1649	0.2341
7	9	0.0630	0.3444
1	9	0.0413	0.5732
6	9	0.0368	0.6460
4	9	0.0332	0.7252
5	9	0.0305	0.7897
0	9	0.0281	0.8732
9	9	0.0261	0.9461
2	9	0.0251	0.9723
3	9	0.0228	1.0000
4	4	0.0913	0.2739
8	4	0.0862	0.3438
9	4	0.0778	0.5913
7	4	0.0674	0.7014
1	4	0.0520	0.8465
6	4	0.0475	0.8942
5	4	0.0427	0.9224
0	4	0.0379	0.9570
3	4	0.0343	0.9863
2	4	0.0328	1.0000
7	0	0.0552	0.1752
5	0	0.0513	0.3240
4	0	0.0492	0.4774
8	0	0.0474	0.5131
9	0	0.0417	0.6218
1	0	0.0363	0.7795
2	0	0.0348	0.8165
0	0	0.0323	0.8919
6	0	0.0309	0.9423
3	0	0.0290	1.0000
5	2	0.0942	0.1408
3	2	0.0879	0.2990
7	2	0.0823	0.4045
9	2	0.0768	0.5267
1	2	0.0712	0.7125
4	2	0.0683	0.7941
0	2	0.0657	0.8913
6	2	0.0637	0.9522
2	2	0.0621	0.9864
8	2	0.0609	1.0000
4	6	0.1428	0.1548
0	6	0.1280	0.3065
3	6	0.1208	0.4437
7	6	0.1160	0.5441
9	6	0.1111	0.6661
1	6	0.1027	0.8333
5	6	0.0996	0.9082
6	6	0.0954	0.9579
8	6	0.0938	0.9747
2	6	0.0907	1.0000
6	8	0.1822	0.1129
3	8	0.1727	0.2554
2	8	0.1693	0.3227
4	8	0.1641	0.4323
5	8	0.1597	0.5284
9	8	0.1527	0.6389
1	8	0.1457	0.8166
0	8	0.1409	0.9134
7	8	0.1372	0.9833
8	8	0.1350	1.0000
8	1	0.1365	0.2103
3	1	0.0565	0.3994
4	1	0.0425	0.4997
5	1	0.0367	0.5898
0	1	0.0322	0.7002
1	1	0.0277	0.8565
7	1	0.0258	0.9097
9	1	0.0235	0.9621
2	1	0.0225	0.9817
6	1	0.0210	1.0000
2	5	0.5929	0.0871
0	5	0.4842	0.2175
6	5	0.4649	0.3079
3	5	0.4496	0.4306
1	5	0.4328	0.6260
9	5	0.4240	0.7410
5	5	0.4189	0.8292
7	5	0.4099	0.9075
8	5	0.4059	0.9321
4	5	0.3927	1.0000
0	7	0.1250	0.1927
7	7	0.1155	0.3162
4	7	0.1096	0.4400
1	7	0.0956	0.6219
9	7	0.0911	0.7322
6	7	0.0886	0.8086
5	7	0.0864	0.8905
8	7	0.0855	0.9171
3	7	0.0803	0.9827
2	7	0.0770	1.0000
