# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	11479272	26453014	1890292	11332550	9642864	9599425	6405260	12861070	17716525	12658523	29	120038824
1	5283146	8969842	2674678	6709676	26562746	7050672	3904332	10534692	4636676	25853766	68	102180294
2	148261804	340448907	97449231	174920992	101947700	123809928	172573390	107848811	37573633	159324299	374	1464159069
3	16859121	17455508	7035154	14714016	14280556	25203933	6648356	13144456	2651067	14234994	45	132227206
4	23849304	29818685	4458452	27445092	15949697	18748466	6362232	17058784	1960680	17322986	12	162974390
5	10769872	33705208	3700590	6308594	14507292	9041020	12061838	16228824	4599289	13027550	0	123950077
6	39886680	36107268	5112474	29443648	40422160	16496833	10675703	23414897	4501278	26700126	65	232761132
7	11823444	16275219	7294050	12836792	21323281	10433598	7380990	20518360	1925214	24805118	53	134616119
8	7219121	15473114	531322	2980146	8244340	3329072	2428760	4262876	13364117	3610702	0	61443570
9	69069954	31766464	37261979	49965957	32311038	40373925	14286440	41448172	4922517	45830989	161	367237596
