# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	28900235	18265527	53125918	41553977	13295163	28609785	15761831	39066090	2818500	62010390	80	303407496
1	55500470	165316865	51982297	70177123	31088288	49096202	110422952	31836274	13783759	47029290	154	626233674
2	94551941	42858540	11746316	48566405	26691720	22929470	7385399	20388990	3643088	22665093	0	301426962
3	25238966	132944101	4864240	19046560	21354196	17300151	32893384	26926298	8891132	26531610	90	315990728
4	12331578	23289184	2939024	6820570	11964640	16979400	9220644	13997124	40668879	12094736	0	150305779
5	19586664	17420354	7561700	15339590	54943593	12248946	7977320	31652486	2702341	93205914	0	262638908
6	21167211	14068470	2477740	7082610	61197008	10161145	4813881	8558732	9683693	8353392	0	147563882
7	27813470	74818684	5439310	88335079	18481806	17447736	14247310	15192548	2380105	17379800	0	281535848
8	36254453	34315627	13584659	27294240	25535632	74871477	16722410	25249667	3981953	27907080	35	285717233
9	23156730	33175877	13687018	12441309	20639628	14442560	23282170	54452733	5297546	26191748	0	226767319
