label	group	precision	recall
6	4	0.1543	0.240
5	4	0.1296	0.559
4	4	0.1092	0.644
3	4	0.0872	0.804
9	4	0.0752	0.873
7	4	0.0637	0.928
0	4	0.0534	0.949
8	4	0.0466	0.967
2	4	0.0411	0.985
1	4	0.0328	1.000
9	0	0.0802	0.216
4	0	0.0776	0.347
8	0	0.0693	0.546
5	0	0.0614	0.674
7	0	0.0541	0.776
6	0	0.0513	0.825
3	0	0.0456	0.905
2	0	0.0402	0.941
0	0	0.0356	0.963
1	0	0.0290	1.000
7	2	0.1420	0.226
8	2	0.1387	0.445
4	2	0.1230	0.500
3	2	0.1027	0.601
5	2	0.0929	0.682
9	2	0.0855	0.737
6	2	0.0813	0.769
2	2	0.0744	0.830
1	2	0.0643	0.946
0	2	0.0609	1.000
4	1	0.0831	0.205
7	1	0.0752	0.533
6	1	0.0671	0.638
8	1	0.0543	0.771
2	1	0.0457	0.875
5	1	0.0390	0.915
9	1	0.0345	0.939
3	1	0.0298	0.965
0	1	0.0265	0.990
1	1	0.0210	1.000
5	6	0.1944	0.194
2	6	0.1912	0.410
6	6	0.1835	0.496
7	6	0.1635	0.617
9	6	0.1507	0.699
4	6	0.1418	0.738
3	6	0.1266	0.812
8	6	0.1167	0.875
1	6	0.0984	0.972
0	6	0.0907	1.000
4	9	0.1508	0.343
3	9	0.0853	0.602
9	9	0.0632	0.662
6	9	0.0549	0.698
2	9	0.0442	0.763
8	9	0.0375	0.809
7	9	0.0330	0.853
1	9	0.0269	0.951
5	9	0.0252	0.990
0	9	0.0228	1.000
3	3	0.3025	0.238
7	3	0.2426	0.362
8	3	0.2194	0.483
9	3	0.2040	0.565
4	3	0.1956	0.615
0	3	0.1830	0.714
5	3	0.1741	0.793
1	3	0.1496	0.915
2	3	0.1417	0.973
6	3	0.1382	1.000
9	7	0.1796	0.182
2	7	0.1581	0.374
6	7	0.1501	0.454
4	7	0.1445	0.534
8	7	0.1314	0.654
3	7	0.1186	0.758
7	7	0.1111	0.850
5	7	0.1050	0.927
1	7	0.0841	0.978
0	7	0.0770	1.000
0	5	0.6628	0.177
1	5	0.6396	0.522
2	5	0.5877	0.635
9	5	0.5490	0.702
8	5	0.5123	0.784
5	5	0.4784	0.842
7	5	0.4493	0.902
4	5	0.4333	0.927
6	5	0.4191	0.951
3	5	0.3927	1.000
3	8	0.2006	0.162
6	8	0.1965	0.232
1	8	0.1888	0.525
5	8	0.1782	0.615
7	8	0.1690	0.705
0	8	0.1606	0.794
8	8	0.1546	0.877
2	8	0.1455	0.937
9	8	0.1389	0.976
4	8	0.1350	1.000
