# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	893309	37779631	10168673	3105154	170831	1535775	586257577	430300	3146042	865693	0	644352985
1	3737036	23660894	13009830	8660204	1621602	8603006	88993625	2901615	12055594	3523701	0	166767107
2	14315837	39416570	24314638	13021722	7874631	4119813	207124493	7372074	25290884	9889459	0	352740121
3	10964287	63976741	20955943	45999910	7066284	13139266	253680366	19064328	29529970	13100627	0	477477722
4	5138482	56019172	47678380	15803352	923837	5269997	216527366	3722654	9259617	7903879	0	368246736
5	4663793	18319945	10661636	7393151	2747894	3507226	78823389	2868856	8895450	7425996	0	145307336
6	2515488	23078643	9601324	7737007	1669224	3246131	64549654	2977551	7382671	5811293	0	128568986
7	7094215	26169992	21313856	10718833	2163269	16485913	121102846	4748320	12593675	4630920	0	227021839
8	5046197	5670783	3236542	2705523	5669792	919168	42524518	7236658	3249606	1533932	0	77792719
9	4306115	19614327	15705164	6920689	1814358	3454727	231271075	2794733	12453940	1140033	0	299475161
