label	group	precision	recall
5	9	0.8742	0.834
1	9	0.4274	0.875
9	9	0.2276	0.913
6	9	0.1905	0.925
3	9	0.1196	0.956
2	9	0.0943	0.971
4	9	0.0773	0.983
7	9	0.0697	0.991
8	9	0.0674	0.992
0	9	0.0528	1.000
8	2	0.8573	0.862
3	2	0.1281	0.919
6	2	0.1051	0.929
2	2	0.0713	0.956
7	2	0.0592	0.967
4	2	0.0463	0.977
9	2	0.0395	0.985
1	2	0.0364	0.988
0	2	0.0282	0.999
5	2	0.0268	1.000
3	6	0.4968	0.583
9	6	0.4121	0.787
1	6	0.3598	0.835
4	6	0.2765	0.892
2	6	0.2285	0.935
8	6	0.2206	0.945
6	6	0.2076	0.955
5	6	0.1944	0.964
7	6	0.1772	0.977
0	6	0.1409	1.000
7	1	0.8510	0.801
1	1	0.5149	0.841
3	1	0.2488	0.899
6	1	0.2202	0.913
9	1	0.1750	0.943
5	1	0.1594	0.955
8	1	0.1518	0.958
4	1	0.1243	0.975
2	1	0.1064	0.989
0	1	0.0835	1.000
6	8	0.6683	0.828
8	8	0.4233	0.842
1	8	0.2404	0.865
5	8	0.1767	0.883
9	8	0.1152	0.908
2	8	0.0823	0.928
4	8	0.0638	0.946
7	8	0.0561	0.955
0	8	0.0423	0.982
3	8	0.0359	1.000
4	7	0.7057	0.732
9	7	0.4275	0.804
0	7	0.2545	0.940
1	7	0.2284	0.951
2	7	0.1883	0.971
6	7	0.1767	0.976
5	7	0.1652	0.980
3	7	0.1366	0.994
7	7	0.1262	0.999
8	7	0.1229	1.000
3	5	0.4044	0.526
6	5	0.3593	0.593
4	5	0.2699	0.716
1	5	0.2482	0.771
2	5	0.2052	0.835
0	5	0.1591	0.926
9	5	0.1451	0.963
7	5	0.1361	0.988
5	5	0.1302	0.996
8	5	0.1271	1.000
2	3	0.7773	0.778
9	3	0.4526	0.838
0	3	0.2477	0.912
4	3	0.2013	0.951
8	3	0.1934	0.957
1	3	0.1788	0.969
3	3	0.1454	0.985
6	3	0.1386	0.990
7	3	0.1280	0.997
5	3	0.1220	1.000
1	0	0.5450	0.535
9	0	0.2428	0.666
7	0	0.1769	0.722
2	0	0.1278	0.787
0	0	0.0897	0.892
4	0	0.0786	0.952
6	0	0.0753	0.969
5	0	0.0711	0.976
3	0	0.0604	0.999
8	0	0.0589	1.000
0	4	0.7791	0.758
9	4	0.6568	0.936
1	4	0.5667	0.951
2	4	0.4365	0.965
4	4	0.3528	0.976
5	4	0.3283	0.981
3	4	0.2677	0.992
6	4	0.2551	0.995
7	4	0.2353	0.999
8	4	0.2292	1.000
