# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	17901623	2542300	796700	25890179	502012440	33601260	9238300	48414383	2722000	1233800	0	644352985
1	90889552	9574608	236100	4289507	9497023	20309583	19335940	3916700	2350194	6367900	0	166767107
2	11041400	3575500	2052800	274168718	9347380	23305200	17752000	7014643	2104580	2377900	0	352740121
3	3854581	14023538	4427800	5665100	7848015	193097265	237210028	4816400	1903495	4631500	0	477477722
4	10141600	3944300	792200	13987508	7450889	45165100	23187229	259884310	1833700	1859900	0	368246736
5	1239100	2934958	113700	1033400	2929000	3058600	3586200	1484900	1903400	127024078	0	145307336
6	2924460	3352900	777100	1520500	1889600	24657229	4069200	1625300	85919697	1833000	0	128568986
7	9455700	193191337	862600	2568300	2341308	9070494	5522400	1919500	999800	1090400	0	227021839
8	201800	847800	66694973	2004971	766900	1363251	3908500	381124	1424900	198500	0	77792719
9	22313813	7172500	609500	21054972	117871346	13534130	82972441	25586259	2587300	5772900	0	299475161
