label	group	precision	recall
2	9	0.73308	0.4922
5	9	0.65673	0.5915
9	9	0.57236	0.6369
3	9	0.46087	0.7267
1	9	0.30904	0.8558
8	9	0.27362	0.8866
4	9	0.26601	0.8940
0	9	0.25079	0.8988
7	9	0.23810	0.9023
6	9	0.09110	1.0000
3	8	0.54718	0.2761
0	8	0.48565	0.3628
9	8	0.44321	0.4334
8	8	0.36163	0.5387
1	8	0.28875	0.8046
2	8	0.23771	0.8359
7	8	0.22567	0.8440
6	8	0.08628	0.9970
4	8	0.08542	0.9982
5	8	0.08378	1.0000
6	7	0.73818	0.9707
8	7	0.69796	0.9779
1	7	0.61257	0.9919
3	7	0.58358	0.9945
2	7	0.54629	0.9981
0	7	0.53484	0.9990
5	7	0.52331	0.9994
4	7	0.51743	0.9996
9	7	0.50736	0.9998
7	7	0.49794	1.0000
0	6	0.40980	0.0972
5	6	0.36675	0.1764
8	6	0.33638	0.3303
2	6	0.23859	0.4047
6	6	0.10060	0.9398
1	6	0.09226	0.9790
4	6	0.09150	0.9827
7	6	0.09013	0.9877
3	6	0.08711	0.9976
9	6	0.08563	1.0000
1	5	0.58655	0.3450
8	5	0.48037	0.3941
6	5	0.21711	0.9479
3	5	0.21220	0.9750
4	5	0.21083	0.9812
5	5	0.20701	0.9869
2	5	0.19572	0.9978
7	5	0.19210	0.9989
0	5	0.18829	0.9998
9	5	0.18469	1.0000
7	4	0.16598	0.2518
5	4	0.14591	0.4679
0	4	0.11766	0.5709
8	4	0.08768	0.7298
2	4	0.06824	0.9060
4	4	0.06467	0.9161
1	4	0.04120	0.9459
3	4	0.03626	0.9567
6	4	0.01259	0.9997
9	4	0.01235	1.0000
7	3	0.38965	0.4472
4	3	0.37870	0.6894
9	3	0.29841	0.8965
3	3	0.16395	0.9170
8	3	0.11321	0.9306
2	3	0.07915	0.9471
0	3	0.07190	0.9499
6	3	0.01868	0.9958
5	3	0.01826	0.9970
1	3	0.01633	1.0000
7	2	0.23191	0.4348
8	2	0.10910	0.6727
4	2	0.10096	0.7334
0	2	0.09010	0.8377
9	2	0.08273	0.9291
3	2	0.06359	0.9831
2	2	0.04573	0.9869
5	2	0.04174	0.9880
6	2	0.01120	0.9986
1	2	0.01000	1.0000
4	1	0.32870	0.6406
7	1	0.15420	0.8133
0	1	0.10328	0.9171
3	1	0.05826	0.9543
8	1	0.04045	0.9702
2	1	0.02811	0.9795
9	1	0.02565	0.9815
5	1	0.02341	0.9826
6	1	0.00632	0.9994
1	1	0.00564	1.0000
9	0	0.23834	0.3672
7	0	0.15498	0.4702
3	0	0.10572	0.6769
5	0	0.09332	0.7528
0	0	0.08372	0.8109
4	0	0.07947	0.8393
8	0	0.06439	0.9002
2	0	0.05195	0.9795
1	0	0.03595	0.9890
6	0	0.01255	1.0000
