# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	2108110	1689236	3010696	129094	3672279	484428	24045057	1289355	20984297	1262263	0	58674815
1	342422	8966	39503	141123	1062552	184003670	9686591	20135448	64318115	33968562	0	313706952
2	2873187	151122	108931	779777	6282078	5855039	18401183	5120084	7579216	129495563	0	176646180
3	7488965	605910	1558229	963810	384376	14471601	2442225	3739414	66792064	23619031	0	122065625
4	1027085	10427096	1753683	11420304	363123	3318610	915514	258910	291052	1946441	0	31721818
5	2747769	18386	32195	56605	7709388	3007519	19582093	598682	426039	26102460	0	60281136
6	398978	274001	306312	2166818	1534390	295334455	132328525	1395786370	37013722	25712613	0	1890856184
7	3733222	2809652	12550162	21086524	8982426	569188	1240762	253144	1974191	917875	0	54117146
8	2208315	259752	6866819	641853	5669625	26187073	38051268	10397742	25489499	8085608	0	123857554
9	13305194	31825	2638781	9766892	9886	101862	594562	342241	17073212	11961080	0	55825535
