label	group	precision	recall
1	9	0.1438	0.03540
2	9	0.1175	0.08024
0	9	0.1012	0.12461
3	9	0.0926	0.18004
4	9	0.0869	0.21581
8	9	0.0500	0.30709
6	9	0.0404	0.39949
9	9	0.0355	0.49263
5	9	0.0305	0.66935
7	9	0.0229	1.00000
5	8	0.1500	0.20416
6	8	0.1472	0.29342
9	8	0.1451	0.38672
7	8	0.1380	0.87426
8	8	0.1374	0.95497
2	8	0.1371	0.96321
3	8	0.1366	0.97650
0	8	0.1363	0.98671
4	8	0.1359	0.99636
1	8	0.1356	1.00000
0	7	0.1165	0.01890
3	7	0.1151	0.04297
8	7	0.1040	0.15142
4	7	0.1034	0.16703
6	7	0.1003	0.27293
9	7	0.0980	0.38234
2	7	0.0977	0.39364
1	7	0.0975	0.39986
5	7	0.0927	0.60114
7	7	0.0774	1.00000
3	6	0.1126	0.02019
8	6	0.1119	0.12295
0	6	0.1116	0.13798
6	6	0.1104	0.24040
9	6	0.1096	0.34825
2	6	0.1094	0.35971
4	6	0.1092	0.37382
5	6	0.1072	0.58410
1	6	0.1071	0.59015
7	6	0.0911	1.00000
7	5	0.4839	0.61929
5	5	0.4411	0.77389
9	5	0.4249	0.84492
6	5	0.4108	0.90734
8	5	0.3993	0.96802
2	5	0.3977	0.97428
3	5	0.3949	0.98400
0	5	0.3925	0.99073
4	5	0.3902	0.99723
1	5	0.3891	1.00000
4	4	0.0727	0.02729
1	4	0.0709	0.03876
0	4	0.0672	0.06231
3	4	0.0635	0.09039
2	4	0.0611	0.10546
8	4	0.0528	0.22546
6	4	0.0487	0.33451
9	4	0.0458	0.44162
5	4	0.0417	0.63670
7	4	0.0329	1.00000
6	3	0.1599	0.09862
9	3	0.1597	0.20330
5	3	0.1596	0.41540
8	3	0.1588	0.50905
2	3	0.1583	0.51905
3	3	0.1576	0.53529
0	3	0.1569	0.54695
1	3	0.1566	0.55219
4	3	0.1558	0.56351
7	3	0.1388	1.00000
8	2	0.0789	0.10805
3	2	0.0788	0.12901
6	2	0.0785	0.23844
4	2	0.0784	0.25402
2	2	0.0784	0.26662
0	2	0.0782	0.28207
9	2	0.0773	0.39374
1	2	0.0772	0.40064
5	2	0.0739	0.60661
7	2	0.0612	1.00000
4	1	0.0963	0.05641
1	1	0.0893	0.07616
0	1	0.0783	0.11336
2	1	0.0695	0.13358
3	1	0.0594	0.16021
8	1	0.0407	0.27130
6	1	0.0355	0.38110
9	1	0.0322	0.48443
5	1	0.0281	0.66756
7	1	0.0211	1.00000
1	0	0.0496	0.00958
4	0	0.0482	0.02975
0	0	0.0472	0.04945
3	0	0.0467	0.07507
2	0	0.0459	0.08946
8	0	0.0432	0.20862
6	0	0.0415	0.32192
9	0	0.0400	0.43547
5	0	0.0367	0.63201
7	0	0.0292	1.00000
