# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	1658042	2266227	2729019	4675694	2238173	7560377	3952907	4222844	3997231	2932733	0	36233247
1	806506	1203300	1218376	2099786	1090610	3108077	1592475	1390051	1426323	2340442	0	16275946
2	1212038	1231805	2225706	4007779	1432267	7026744	3014998	2524033	3225651	2964252	38	28865311
3	2156742	1622430	3703330	6511949	2669777	10924997	5311691	5378479	5208746	3664570	89	47152800
4	1698394	3436390	2753347	4540270	2593858	7306218	3709755	3486109	3780606	2364893	283	35670123
5	16546077	11156237	36387049	85042242	18543027	173701362	55311356	44978411	79974688	11682914	10082	533333445
6	9538527	6689203	19332250	39542190	10366015	70138951	26941864	23665613	34962480	6108027	2660	247287780
7	30980592	20252970	69497414	175014428	34533742	695817602	107806065	89127366	190980994	21858371	2051846	1437921390
8	10031588	6767572	19087740	37550842	11406541	68181509	27028167	24235401	31615844	6034340	1863	241941407
9	9559062	6295275	19728419	41974179	10180806	79808182	28368882	24447850	36549514	6157292	2035	263071496
