label	group	precision	recall
4	7	0.0641	0.01700
0	7	0.0641	0.03422
3	7	0.0631	0.05583
8	7	0.0617	0.16541
6	7	0.0613	0.27684
9	7	0.0600	0.38821
1	7	0.0599	0.39508
2	7	0.0598	0.40723
5	7	0.0563	0.60658
7	7	0.0466	1.00000
7	2	0.6051	0.60077
5	2	0.5641	0.76777
9	2	0.5457	0.84184
6	2	0.5297	0.90759
8	2	0.5154	0.96923
2	2	0.5133	0.97545
3	2	0.5095	0.98482
0	2	0.5063	0.99127
4	2	0.5031	0.99748
1	2	0.5015	1.00000
3	4	0.0800	0.02316
0	4	0.0800	0.04092
4	4	0.0794	0.05802
8	4	0.0770	0.17061
1	4	0.0769	0.17797
6	4	0.0756	0.28970
2	4	0.0754	0.30248
9	4	0.0738	0.41523
5	4	0.0691	0.61503
7	4	0.0564	1.00000
3	6	0.1173	0.02377
0	6	0.1172	0.04199
8	6	0.1073	0.15004
4	6	0.1067	0.16555
6	6	0.1034	0.27017
9	6	0.1013	0.37906
2	6	0.1010	0.39073
1	6	0.1009	0.39712
5	6	0.0967	0.60222
7	6	0.0806	1.00000
8	9	0.1496	0.09856
9	9	0.1496	0.20569
6	9	0.1488	0.30484
5	9	0.1476	0.51667
3	9	0.1474	0.53505
0	9	0.1471	0.54857
2	9	0.1469	0.55904
4	9	0.1463	0.57131
1	9	0.1460	0.57655
7	9	0.1272	1.00000
1	8	0.0901	0.02387
4	8	0.0892	0.07541
0	8	0.0776	0.11134
2	8	0.0694	0.13227
3	8	0.0607	0.16233
8	8	0.0419	0.27689
6	8	0.0363	0.38578
9	8	0.0327	0.48847
5	8	0.0284	0.67108
7	8	0.0213	1.00000
0	3	0.0632	0.01732
4	3	0.0630	0.03427
3	3	0.0628	0.05653
8	3	0.0613	0.16744
6	3	0.0607	0.27938
1	3	0.0606	0.28647
2	3	0.0605	0.29898
9	3	0.0593	0.41078
5	3	0.0558	0.61145
7	3	0.0458	1.00000
1	0	0.1490	0.02021
2	0	0.1312	0.04934
0	0	0.1178	0.07987
3	0	0.1086	0.11626
4	0	0.1050	0.14365
6	0	0.0700	0.23984
9	0	0.0602	0.33831
8	0	0.0561	0.42863
5	0	0.0518	0.62583
7	0	0.0416	1.00000
1	5	0.0755	0.00992
3	5	0.0635	0.03252
2	5	0.0616	0.04588
4	5	0.0601	0.06205
0	5	0.0592	0.07845
8	5	0.0569	0.18636
6	5	0.0558	0.29429
9	5	0.0546	0.40395
5	5	0.0522	0.61072
7	5	0.0429	1.00000
4	1	0.0780	0.02723
1	1	0.0735	0.03736
0	1	0.0692	0.05969
3	1	0.0647	0.08574
2	1	0.0623	0.10016
8	1	0.0555	0.22063
6	1	0.0524	0.33484
9	1	0.0496	0.44483
5	1	0.0448	0.63560
7	1	0.0354	1.00000
