label	group	precision	recall
9	9	0.16843	0.0976
7	9	0.15906	0.3068
8	9	0.15598	0.3624
0	9	0.14865	0.4414
1	9	0.14242	0.5534
3	9	0.13055	0.6821
5	9	0.12257	0.8114
6	9	0.11497	0.9389
2	9	0.11274	0.9539
4	9	0.09110	1.0000
5	8	0.14898	0.2261
3	8	0.14044	0.4176
8	8	0.13763	0.4682
0	8	0.13141	0.5394
6	8	0.12045	0.6969
9	8	0.11767	0.7549
1	8	0.11234	0.8327
7	8	0.10538	0.9358
2	8	0.10368	0.9538
4	8	0.08378	1.0000
4	7	0.77208	0.3554
7	7	0.66744	0.4721
9	7	0.63880	0.5195
0	7	0.61358	0.5715
3	7	0.57362	0.6748
2	7	0.56692	0.6974
6	7	0.53925	0.8159
1	7	0.52318	0.8793
5	7	0.50281	0.9735
8	7	0.49794	1.0000
1	6	0.16470	0.1606
0	6	0.15406	0.2561
3	6	0.14013	0.4325
8	6	0.13639	0.4782
6	6	0.12259	0.6315
9	6	0.11877	0.6850
5	6	0.10703	0.7762
7	6	0.09897	0.8599
2	6	0.09721	0.8750
4	6	0.08563	1.0000
5	5	0.24989	0.1720
7	5	0.23763	0.3218
6	5	0.23089	0.4888
8	5	0.22852	0.5282
2	5	0.22514	0.5530
1	5	0.21638	0.6294
0	5	0.21104	0.6811
3	5	0.20161	0.7838
4	5	0.18717	0.9600
9	5	0.18469	1.0000
1	4	0.03790	0.2563
2	4	0.03649	0.3258
6	4	0.03177	0.6461
9	4	0.02870	0.7063
8	4	0.02710	0.7455
0	4	0.02463	0.7951
5	4	0.02066	0.8794
3	4	0.01797	0.9426
7	4	0.01553	0.9693
4	4	0.01235	1.0000
2	3	0.06544	0.1074
5	3	0.03637	0.3429
6	3	0.03090	0.5579
3	3	0.02868	0.7319
8	3	0.02784	0.7717
1	3	0.02616	0.8589
9	3	0.02530	0.9124
0	3	0.02378	0.9436
7	3	0.02089	0.9859
4	3	0.01633	1.0000
2	2	0.06246	0.1674
3	2	0.02846	0.4235
6	2	0.02216	0.6422
9	2	0.02058	0.7051
1	2	0.01860	0.7925
8	2	0.01788	0.8259
0	2	0.01668	0.8687
5	2	0.01454	0.9424
7	2	0.01283	0.9895
4	2	0.01000	1.0000
2	1	0.04512	0.2145
3	1	0.02032	0.5362
6	1	0.01440	0.7398
1	1	0.01247	0.8254
9	1	0.01162	0.8779
8	1	0.01112	0.9115
0	1	0.01018	0.9407
5	1	0.00847	0.9737
7	1	0.00726	0.9923
4	1	0.00564	1.0000
2	0	0.04751	0.1014
5	0	0.03513	0.4309
1	0	0.02871	0.5434
9	0	0.02651	0.6131
8	0	0.02537	0.6595
6	0	0.02260	0.8410
7	0	0.01918	0.9016
0	0	0.01798	0.9300
3	0	0.01605	0.9860
4	0	0.01255	1.0000
