# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	1027563	475715	1236386	1472372	1769962	27581955	23616489	74786491	17212660	20784036	0	169963629
1	4073092	1393001	2522817	4112311	9140535	40710621	39719294	91196497	18815688	29475885	0	241159741
2	3675695	3490436	4832335	5062542	2482507	13256762	3738231	32522001	4363509	3939455	0	77363473
3	2031715	5236705	7392544	8205409	2253609	54759363	43627270	148508665	46323878	33843997	0	352183155
4	505894	125423	303353	664659	1095943	93968833	30911489	511083063	11166310	12128934	0	661953901
5	11938693	536729	2128010	11106381	3006827	91748409	22559833	135406166	54700729	34030335	0	367162112
6	6578598	3313185	6312294	10136978	11423224	89061588	37900379	170407168	38114947	33533877	0	406782238
7	2195330	303002	1358357	1993038	951179	79866625	20683790	167699408	24946343	55046447	0	355043519
8	1680519	546516	964823	1875794	1398508	21024855	11295207	38083439	12257478	14621927	0	103749066
9	2526148	855157	1814373	2523208	2147810	21354059	13235691	68227507	14039573	25666352	0	152389878
