# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	54144344	66886653	20607949	109733036	397776903	169960394	154637053	139596826	34341282	49976917	591	1197661948
1	1661608	5576066	4617548	6279237	860785	10736488	10771706	3878925	1874480	3320529	80	49577452
2	13648371	15282076	995913	14903692	15221679	18504650	14647634	47406646	7426942	8621323	153	156659079
3	5268288	5793354	1156626	9417767	5758134	6372962	21676815	5977604	6673626	11766908	77	79862161
4	1471742	3658656	6144842	9756930	1014808	2529094	12107106	980720	1564894	2536124	38	41764954
5	2080232	9318906	2023050	3603802	833758	7146940	8640622	2434866	1812880	2146415	0	40041471
6	70536634	105397020	27053436	137572693	225205921	91233390	127067268	116408607	33215380	50694023	1041	984385413
7	13836910	19386278	6480830	41248898	10987451	38179099	39513069	30445182	10983994	14438157	108	225499976
8	668476	1661228	3903822	1332194	338454	1892488	5085631	1277594	1512300	1662986	0	19335173
9	6647024	8199504	4379457	18334906	3956008	20606607	12635334	6636549	4343288	7226496	145	92965318
