label	group	precision	recall
3	9	0.1839	0.1109
8	9	0.1703	0.1275
9	9	0.1151	0.1669
7	9	0.0810	0.2555
5	9	0.0785	0.2711
6	9	0.0587	0.6395
4	9	0.0585	0.6549
2	9	0.0572	0.7078
1	9	0.0567	0.7235
0	9	0.0459	1.0000
0	8	0.2934	0.7584
1	8	0.2917	0.7853
5	8	0.2865	0.7958
9	8	0.2745	0.8177
7	8	0.2479	0.8591
2	8	0.2330	0.8860
6	8	0.1671	0.9905
3	8	0.1633	0.9963
4	8	0.1614	0.9989
8	8	0.1605	1.0000
4	7	0.2727	0.1094
8	7	0.2706	0.1589
1	7	0.2300	0.2446
7	7	0.1256	0.4057
9	7	0.1096	0.4519
3	7	0.0990	0.4843
5	7	0.0947	0.4993
6	7	0.0521	0.7683
0	7	0.0372	0.9772
2	7	0.0360	1.0000
2	6	0.2750	0.1947
6	6	0.1246	0.6423
0	6	0.0878	0.9280
5	6	0.0872	0.9374
3	6	0.0856	0.9509
7	6	0.0810	0.9822
9	6	0.0792	0.9941
8	6	0.0788	0.9957
1	6	0.0776	0.9984
4	6	0.0766	1.0000
7	5	0.3041	0.2304
2	5	0.2963	0.3804
8	5	0.2911	0.3927
5	5	0.2745	0.4073
1	5	0.2570	0.4241
9	5	0.2307	0.4527
6	5	0.1387	0.7309
3	5	0.1360	0.7531
4	5	0.1342	0.7620
0	5	0.1031	1.0000
4	4	0.3625	0.0590
3	4	0.3117	0.1478
5	4	0.2719	0.1714
7	4	0.2005	0.3027
1	4	0.1945	0.3312
8	4	0.1922	0.3417
9	4	0.1816	0.3887
6	4	0.1189	0.7109
0	4	0.0920	0.9791
2	4	0.0888	1.0000
2	3	0.1551	0.1204
9	3	0.1430	0.1769
7	3	0.1294	0.3046
0	3	0.0874	0.7244
3	3	0.0863	0.7491
6	3	0.0726	0.9840
8	3	0.0723	0.9870
1	3	0.0715	0.9934
5	3	0.0707	0.9970
4	3	0.0699	1.0000
6	2	0.4629	0.4997
0	2	0.3919	0.9378
3	2	0.3840	0.9525
9	2	0.3745	0.9671
7	2	0.3488	0.9871
2	2	0.3317	0.9956
5	2	0.3274	0.9971
4	2	0.3230	0.9986
8	2	0.3210	0.9990
1	2	0.3157	1.0000
5	1	0.2301	0.0491
9	1	0.1683	0.1192
1	1	0.1581	0.1537
4	1	0.1472	0.1759
8	1	0.1431	0.1857
3	1	0.1286	0.2216
0	1	0.0779	0.6309
6	1	0.0678	0.9047
7	1	0.0664	0.9655
2	1	0.0650	1.0000
5	0	0.1929	0.0696
9	0	0.1462	0.1751
8	0	0.1400	0.1921
1	0	0.1281	0.2331
4	0	0.1180	0.2591
7	0	0.0895	0.3781
6	0	0.0566	0.7406
3	0	0.0547	0.7555
2	0	0.0515	0.7843
0	0	0.0384	1.0000
