# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	28261828	18908501	63040418	157068151	32421644	533739595	100130068	81229735	160790491	20389856	1681661	1197661948
1	2089520	2597771	3920563	7206612	2511065	11963148	5322746	4968937	6095940	2901048	102	49577452
2	6255854	4168193	12451886	24961731	6678288	44612904	17222804	15353912	21219631	3732079	1797	156659079
3	3975749	3101374	6874609	11822256	4960829	19339313	9238933	8460983	9876470	2211432	213	79862161
4	1855118	1369047	3243554	6098986	2045751	10103097	4406886	3912233	4584666	4145262	354	41764954
5	1875220	3334262	3076983	5208454	2853771	8563540	4254328	4113889	4439334	2321543	147	40041471
6	25901009	17178065	57313878	136418633	27902338	404530430	85185726	71454412	140093255	18023993	383674	984385413
7	9191414	6068796	17931159	35867585	10162176	62178044	24963341	22408516	31111294	5617507	144	225499976
8	878185	1227672	1396695	2353781	1190823	3760166	1902966	1822005	2038575	2764280	25	19335173
9	3903671	2967728	7412905	13953170	4328131	24783782	10410362	9731535	11472421	4000834	779	92965318
