label	group	precision	recall
1	8	0.13353	0.1036
0	8	0.13184	0.1628
4	8	0.12957	0.2974
3	8	0.12828	0.4014
5	8	0.12531	0.5463
8	8	0.11728	0.7359
7	8	0.11526	0.7728
9	8	0.11244	0.8155
2	8	0.08786	0.9683
6	8	0.08378	1.0000
7	1	0.05373	0.3436
4	1	0.03263	0.7229
0	1	0.02816	0.8159
1	1	0.02134	0.8645
9	1	0.01842	0.8963
5	1	0.01429	0.9565
6	1	0.01197	0.9641
2	1	0.00727	0.9933
8	1	0.00605	0.9984
3	1	0.00564	1.0000
1	0	0.06731	0.3488
7	0	0.05399	0.4348
0	0	0.04653	0.5173
8	0	0.03156	0.7546
9	0	0.02972	0.8192
5	0	0.02511	0.8984
4	0	0.02216	0.9498
3	0	0.01997	0.9670
6	0	0.01793	0.9777
2	0	0.01255	1.0000
8	5	0.31377	0.2726
5	5	0.30849	0.4402
3	5	0.30328	0.5475
7	5	0.29442	0.5890
1	5	0.27411	0.6448
0	5	0.26422	0.6766
4	5	0.24567	0.7472
9	5	0.23769	0.7820
6	5	0.22453	0.8319
2	5	0.18469	1.0000
7	2	0.10095	0.3640
4	2	0.05247	0.6555
0	2	0.04447	0.7266
1	2	0.03553	0.8117
5	2	0.02714	0.8998
9	2	0.02480	0.9360
6	2	0.02085	0.9469
2	2	0.01284	0.9889
8	2	0.01072	0.9977
3	2	0.01000	1.0000
5	9	0.25502	0.2885
9	9	0.23886	0.3905
1	9	0.20835	0.4893
6	9	0.18924	0.6036
0	9	0.17865	0.6452
7	9	0.16873	0.6762
3	9	0.15063	0.7192
2	9	0.11029	0.9088
4	9	0.10400	0.9584
8	9	0.09110	1.0000
0	6	0.20963	0.0941
4	6	0.17618	0.2619
6	6	0.16604	0.3953
9	6	0.16010	0.4670
1	6	0.14471	0.5320
2	6	0.10947	0.8060
7	6	0.10739	0.8359
3	6	0.10203	0.8775
5	6	0.09461	0.9276
8	6	0.08563	1.0000
2	7	0.72687	0.4609
6	7	0.69153	0.5449
8	7	0.63354	0.7034
3	7	0.61602	0.7704
9	7	0.60042	0.8062
4	7	0.57378	0.8728
1	7	0.55188	0.9115
0	7	0.53851	0.9310
7	7	0.52697	0.9492
5	7	0.49794	1.0000
7	3	0.09835	0.2171
1	3	0.07889	0.4882
4	3	0.06087	0.7079
0	3	0.05365	0.7502
5	3	0.04039	0.8198
8	3	0.03079	0.9274
9	3	0.02903	0.9562
6	3	0.02565	0.9651
2	3	0.01747	0.9951
3	3	0.01633	1.0000
0	4	0.08094	0.2519
4	4	0.04939	0.5089
1	4	0.04432	0.6899
7	4	0.04018	0.7428
9	4	0.03639	0.8079
6	4	0.03031	0.8609
5	4	0.02513	0.9234
8	4	0.01936	0.9627
3	4	0.01763	0.9769
2	4	0.01235	1.0000
