# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	41584037	33183613	679780415	45495167	56019822	44255127	85959634	46470939	19048519	144183012	1681663	1197661948
1	4095736	2743641	15529914	3070465	3839077	2840114	5051035	3099623	2486085	6821660	102	49577452
2	7028283	7650239	58788945	9582748	11857553	8424351	15795161	9804699	4138840	23586463	1797	156659079
3	3750997	5461020	24385556	5486695	6854238	4833708	8788175	5544147	3252983	11504429	213	79862161
4	4661463	2138500	12649068	2497194	3162307	2671265	4077433	2497446	1668684	5741240	354	41764954
5	3268283	2999880	10553344	2510765	3154219	2315721	4268064	2545913	3181150	5243985	147	40041471
6	36462594	30777671	527142249	42728811	52158711	39706246	73778718	43668983	16976189	120601567	383674	984385413
7	10342639	11339588	83040657	13959048	17206486	12663438	23104390	14099454	6290795	33453337	144	225499976
8	3024362	1233880	4677728	1148135	1437410	1081378	1901367	1188910	1326563	2315415	25	19335173
9	5818088	4649004	31763008	5744958	7279335	5156927	10031321	5693012	3073334	13755552	779	92965318
