# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	56088	1924895	21574	150104	50864	35586	5199148	39587	6187723	332472	0	13998041
1	8664262	418138	167136	138031	132023	185026	347010	9051858	78017	474495	0	19655996
2	42566	4368229	22554799	265596	55408	68838	5725	73750	1656558	2116515	0	31207984
3	1580604	9668980	23798337	277315732	1659427	3243982	890646	98726145	189444	623185	0	417696482
4	47961	2316052	2591524	1249641	7424666	30214523	824582	456181	13171132	16893491	0	75189753
5	2285606	3876961	1720353	1498607234	1717269	15733675	775330	93122314	626269	56016560	0	1674481571
6	953730	9630555	109953	1494202	23777688	3190697	15533227	3379167	170236	233705	0	58473160
7	360301	7386265	318338	281223	9950455	6471377	194868	7335027	206715	11459021	0	43963590
8	714322	77543932	4301111	403951311	3597026	3983012	237213	3409500	858018	36515000	0	535110445
9	4692438	15597290	4753809	524607	516733	48327	5017226	432929	179807	376090	0	32139256
