label	group	precision	recall
0	6	0.37142	0.1791
6	6	0.28608	0.7143
9	6	0.24615	0.8872
1	6	0.21001	0.8991
4	6	0.13497	0.9275
7	6	0.11140	0.9342
3	6	0.04236	0.9649
5	6	0.01232	0.9916
8	6	0.01011	0.9998
2	6	0.01000	1.0000
9	1	0.48530	0.1175
7	1	0.30201	0.1732
6	1	0.24235	0.2457
8	1	0.16449	0.8299
2	1	0.16340	0.8628
0	1	0.16289	0.8773
4	1	0.15032	0.8948
3	1	0.10634	0.9676
1	1	0.10498	0.9708
5	1	0.04574	1.0000
7	9	0.26065	0.0916
4	9	0.23795	0.2267
8	9	0.09915	0.5188
2	9	0.09772	0.5357
5	9	0.05212	0.9837
1	9	0.05189	0.9875
0	9	0.05172	0.9901
9	9	0.05119	0.9931
6	9	0.05008	0.9950
3	9	0.04309	1.0000
6	4	0.40664	0.4864
7	4	0.32926	0.6900
4	4	0.23168	0.8419
9	4	0.19865	0.8525
8	4	0.06077	0.9260
1	4	0.05938	0.9287
3	4	0.03980	0.9627
0	4	0.03938	0.9637
2	4	0.03843	0.9649
5	4	0.01684	1.0000
5	3	0.89497	0.6862
8	3	0.86105	0.8711
3	3	0.82970	0.9981
6	3	0.81220	0.9988
4	3	0.79053	0.9994
9	3	0.78162	0.9996
0	3	0.77778	0.9997
2	3	0.76932	0.9998
1	3	0.76408	0.9999
7	3	0.75260	1.0000
4	5	0.40184	0.4783
7	5	0.30789	0.5807
6	5	0.22450	0.6312
1	5	0.20307	0.6341
5	5	0.02981	0.8832
3	5	0.02579	0.9345
8	5	0.02231	0.9976
0	5	0.02221	0.9981
2	5	0.02200	0.9992
9	5	0.02177	1.0000
1	7	0.46051	0.0419
3	7	0.24643	0.4989
7	7	0.23916	0.5329
6	7	0.21952	0.5485
5	7	0.09557	0.9796
9	7	0.09439	0.9816
8	7	0.07746	0.9974
4	7	0.07558	0.9995
0	7	0.07523	0.9997
2	7	0.07444	1.0000
2	2	0.72273	0.3738
9	2	0.43109	0.4526
3	2	0.10624	0.8470
4	2	0.09654	0.8900
1	2	0.09353	0.8927
8	2	0.05236	0.9640
7	2	0.05064	0.9693
6	2	0.04829	0.9711
0	2	0.04776	0.9715
5	2	0.02079	1.0000
1	0	0.44079	0.4467
9	0	0.25787	0.6886
6	0	0.12978	0.7377
7	0	0.09512	0.7563
0	0	0.08754	0.7592
3	0	0.02783	0.8407
5	0	0.00823	0.9585
2	0	0.00813	0.9607
8	0	0.00685	0.9975
4	0	0.00668	1.0000
0	8	0.44204	0.2653
4	8	0.21706	0.8300
2	8	0.17455	0.9010
9	8	0.13895	0.9087
7	8	0.10892	0.9176
1	8	0.09937	0.9209
6	8	0.07883	0.9282
8	8	0.02780	0.9650
3	8	0.01849	0.9731
5	8	0.00804	1.0000
