# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	13652086	10122359	1170984	7649706	42129820	7637561	759702	364667512	46962040	6251029	0	501002799
1	15167	126956	9530	2182	487543	154103	681	334196086	763923	4034	0	335760205
2	30748	453932	17182	6667	798869	1027026	1168	86534963	3377977	32181	0	92280713
3	765427	614258	32252	69835	4417736	736348	7361	143582460	7148969	133559	0	157508205
4	48433	1436247	84816	4006	3342043	599431	25022	78169790	1317852	9719	0	85037359
5	13476330	34311432	3706952	2290083	25667647	17114970	5472105	238179684	51802828	12778762	0	404800793
6	1090242	17215996	3251619	151378	30019680	12062245	597188	271976353	14455901	430603	0	351251205
7	5383072	29730853	26276073	4502482	54595239	34970718	3434800	331426556	33488789	11534264	0	535342846
8	626883	5197313	339058	81910	9414550	3815465	108676	118869232	10714528	281045	0	149448660
9	763097	7978855	168501	118679	6922445	7514316	27136	238519111	26095784	1375118	0	289483042
