# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	72478094	2590356	1628921	1805027	8346800	2729100	13171221	387845546	5470234	4937500	0	501002799
1	961281	309430296	2146123	2925700	1612184	5236850	3672373	6095398	879800	2800200	0	335760205
2	397500	3931027	1061500	76363016	723800	3541900	835200	2379000	843100	2204670	0	92280713
3	1153500	3530100	1121500	1637300	1566400	110817776	3528300	30587929	1291900	2273500	0	157508205
4	621300	2047700	67254859	731400	3623500	1790200	1315700	2159100	4388800	1104800	0	85037359
5	361345098	1097630	589000	588600	6100900	909200	11094859	6958823	2459700	13656983	0	404800793
6	7457200	2363375	2246100	1377300	276776307	2077900	41913757	7950000	5383966	3705300	0	351251205
7	17973578	1174016	413938	664200	3592800	728200	499116614	7856000	1326200	2497300	0	535342846
8	4910000	540400	1622500	2705100	6086000	3223200	3773244	11568300	110778116	4241800	0	149448660
9	12111000	1734200	642100	5985154	2413800	3227200	4379600	10613600	6041100	242335288	0	289483042
