label	group	precision	recall
8	8	0.7412	0.798
4	8	0.4911	0.829
9	8	0.2313	0.873
6	8	0.1446	0.912
0	8	0.0960	0.951
2	8	0.0905	0.957
3	8	0.0825	0.966
5	8	0.0673	0.984
1	8	0.0581	0.990
7	8	0.0479	1.000
9	9	0.8371	0.866
5	9	0.3687	0.915
8	9	0.3084	0.930
2	9	0.2804	0.938
3	9	0.2421	0.946
4	9	0.2255	0.950
6	9	0.1762	0.963
0	9	0.1351	0.981
1	9	0.1172	0.991
7	9	0.0964	1.000
7	6	0.9323	0.856
6	6	0.6102	0.928
5	6	0.4275	0.947
0	6	0.3154	0.970
8	6	0.2931	0.976
3	6	0.2727	0.982
4	6	0.2627	0.985
9	6	0.2338	0.992
1	6	0.2071	0.999
2	6	0.2008	1.000
6	4	0.7880	0.890
4	4	0.6427	0.902
8	4	0.4891	0.922
0	4	0.2713	0.948
5	4	0.2018	0.968
3	4	0.1834	0.973
9	4	0.1573	0.981
2	4	0.1505	0.983
7	4	0.1205	0.995
1	4	0.1071	1.000
5	0	0.8926	0.754
0	0	0.4789	0.905
9	0	0.3731	0.930
7	0	0.2681	0.968
8	0	0.2494	0.978
6	0	0.2134	0.993
3	0	0.1999	0.996
4	0	0.1932	0.997
2	0	0.1864	0.998
1	0	0.1652	1.000
4	2	0.7909	0.854
2	2	0.3853	0.868
8	2	0.2140	0.888
3	2	0.1467	0.903
6	2	0.0877	0.931
1	2	0.0644	0.958
0	2	0.0461	0.979
9	2	0.0396	0.987
5	2	0.0331	0.995
7	2	0.0271	1.000
3	5	0.7036	0.825
2	5	0.4578	0.852
8	5	0.2945	0.876
4	5	0.2465	0.889
1	5	0.1520	0.928
9	5	0.1152	0.952
6	5	0.0889	0.967
0	5	0.0676	0.988
5	5	0.0564	0.995
7	5	0.0463	1.000
2	3	0.8275	0.806
9	3	0.2157	0.869
8	3	0.1601	0.897
3	3	0.1259	0.915
1	3	0.0875	0.945
4	3	0.0814	0.953
6	3	0.0628	0.968
0	3	0.0477	0.987
5	3	0.0398	0.993
7	3	0.0327	1.000
1	1	0.9216	0.942
2	1	0.7321	0.954
4	1	0.6147	0.960
3	1	0.4756	0.971
6	1	0.3144	0.978
9	1	0.2463	0.984
0	1	0.1797	0.991
8	1	0.1663	0.993
5	1	0.1383	0.996
7	1	0.1132	1.000
0	7	0.7741	0.818
3	7	0.6354	0.883
8	7	0.5322	0.907
9	7	0.4015	0.930
2	7	0.3724	0.935
4	7	0.3492	0.939
6	7	0.2787	0.956
1	7	0.2341	0.969
5	7	0.1970	0.983
7	7	0.1633	1.000
