label	group	precision	recall
0	9	0.59660	0.6655
9	9	0.41698	0.8911
6	9	0.37865	0.9321
3	9	0.32216	0.9422
1	9	0.15439	0.9664
2	9	0.13191	0.9696
8	9	0.07266	0.9775
4	9	0.05183	0.9839
5	9	0.04553	0.9857
7	9	0.01108	1.0000
8	8	0.44196	0.1620
5	8	0.44118	0.2323
7	8	0.21324	0.9914
1	8	0.20559	0.9970
2	8	0.20295	0.9975
0	8	0.20032	0.9980
3	8	0.19924	0.9982
4	8	0.18717	0.9999
9	8	0.18506	1.0000
6	8	0.18440	1.0000
6	7	0.21533	0.0511
8	7	0.10629	0.4994
1	7	0.09993	0.7131
5	7	0.09135	0.8298
2	7	0.08822	0.8718
4	7	0.07142	0.9946
3	7	0.06983	0.9961
9	7	0.06642	0.9970
0	7	0.06304	0.9978
7	7	0.01515	1.0000
2	6	0.72684	0.4358
3	6	0.61160	0.5223
0	6	0.46929	0.6885
9	6	0.38623	0.7835
4	6	0.18754	0.9507
6	6	0.18193	0.9547
5	6	0.14474	0.9715
8	6	0.09716	0.9780
1	6	0.08248	0.9814
7	6	0.02015	1.0000
7	5	0.68578	0.9035
1	5	0.67880	0.9378
4	5	0.66698	0.9923
5	5	0.64938	0.9993
2	5	0.64081	0.9995
6	5	0.63828	0.9995
8	5	0.59407	0.9999
3	5	0.59097	0.9999
9	5	0.58423	1.0000
0	5	0.57703	1.0000
5	4	0.34948	0.3980
1	4	0.30863	0.7915
6	4	0.30623	0.8278
2	4	0.28849	0.9143
9	4	0.26551	0.9575
8	4	0.15942	0.9907
4	4	0.11570	0.9926
3	4	0.11310	0.9927
0	4	0.10729	0.9928
7	4	0.02591	1.0000
8	3	0.38032	0.1786
4	3	0.35122	0.3144
7	3	0.16116	0.9955
0	3	0.15934	0.9979
2	3	0.15738	0.9988
3	3	0.15655	0.9992
1	3	0.15059	0.9997
6	3	0.15003	0.9998
5	3	0.14558	0.9999
9	3	0.14394	1.0000
9	2	0.37763	0.3973
1	2	0.13398	0.6011
8	2	0.08657	0.9325
0	2	0.08299	0.9893
2	2	0.07594	0.9905
5	2	0.06280	0.9914
4	2	0.04620	0.9926
6	2	0.04549	0.9926
7	2	0.01081	1.0000
3	2	0.01075	1.0000
6	1	0.36843	0.1956
4	1	0.09104	0.8718
0	1	0.08360	0.9530
9	1	0.07497	0.9799
3	1	0.07099	0.9816
1	1	0.05134	0.9899
8	1	0.03407	0.9968
2	1	0.03212	0.9972
5	1	0.02818	0.9976
7	1	0.00677	1.0000
3	0	0.61193	0.6503
9	0	0.26773	0.9125
8	0	0.05624	0.9796
1	0	0.03939	0.9879
2	0	0.03590	0.9902
0	0	0.03289	0.9912
6	0	0.03210	0.9914
5	0	0.02683	0.9930
4	0	0.02001	0.9948
7	0	0.00482	1.0000
