label	group	precision	recall
0	9	0.03340	0.498
7	9	0.02695	0.799
6	9	0.01970	0.942
8	9	0.01828	0.953
5	9	0.01711	0.963
4	9	0.01492	0.984
9	9	0.01336	0.998
2	9	0.01295	0.999
3	9	0.01248	1.000
1	9	0.01108	1.000
9	8	0.31114	0.163
8	8	0.28986	0.227
0	8	0.26197	0.440
3	8	0.25818	0.479
5	8	0.25346	0.534
7	8	0.23549	0.705
2	8	0.23318	0.732
4	8	0.22172	0.825
6	8	0.19769	0.951
1	8	0.18440	1.000
0	7	0.03244	0.354
6	7	0.02879	0.696
7	7	0.02378	0.831
8	7	0.02271	0.865
4	7	0.02080	0.940
9	7	0.01916	0.987
5	7	0.01821	0.994
3	7	0.01758	0.997
2	7	0.01708	1.000
1	7	0.01515	1.000
6	6	0.05444	0.543
7	6	0.04078	0.737
0	6	0.03491	0.917
4	6	0.03066	0.968
8	6	0.02883	0.979
5	6	0.02720	0.986
9	6	0.02430	0.997
2	6	0.02356	0.999
3	6	0.02271	1.000
1	6	0.02015	1.000
1	5	0.87005	0.171
2	5	0.83030	0.202
4	5	0.75428	0.323
3	5	0.73883	0.359
6	5	0.68576	0.572
5	5	0.67825	0.620
8	5	0.66567	0.663
9	5	0.64296	0.748
7	5	0.61196	0.885
0	5	0.57703	1.000
6	4	0.05442	0.422
0	4	0.05355	0.756
4	4	0.04671	0.853
9	4	0.04198	0.923
8	4	0.03981	0.949
7	4	0.03286	0.990
2	4	0.03187	0.994
3	4	0.03076	0.998
5	4	0.02920	1.000
1	4	0.02591	1.000
7	3	0.24429	0.277
8	3	0.23115	0.339
5	3	0.22043	0.394
3	3	0.21236	0.428
0	3	0.18878	0.597
2	3	0.18613	0.624
9	3	0.17820	0.717
4	3	0.17110	0.815
6	3	0.15601	0.961
1	3	0.14394	1.000
0	2	0.04619	0.710
9	2	0.03339	0.812
6	2	0.02135	0.918
8	2	0.01971	0.935
7	2	0.01556	0.975
4	2	0.01369	0.994
3	2	0.01319	0.998
5	2	0.01250	0.999
2	2	0.01212	1.000
1	2	0.01075	1.000
0	1	0.01870	0.456
6	1	0.01385	0.748
7	1	0.01123	0.877
4	1	0.01016	0.954
8	1	0.00969	0.979
2	1	0.00936	0.983
9	1	0.00833	0.993
5	1	0.00792	0.998
3	1	0.00763	0.999
1	1	0.00677	1.000
6	0	0.01016	0.423
0	0	0.00979	0.743
7	0	0.00890	0.977
9	0	0.00762	0.988
8	0	0.00710	0.992
4	0	0.00616	0.998
5	0	0.00583	0.999
3	0	0.00561	1.000
2	0	0.00544	1.000
1	0	0.00482	1.000
