# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	4474070	8964720	22142109	70641758	25163768	192012946	10528341	15551465	113917937	16011437	0	479408551
1	975	15108	7488	16206194	32584	285759945	23145	16373	26365925	11363	0	328439100
2	2113	92300	11814	11155069	281384	52308191	85264	100180	14656925	33301	0	78726541
3	10622	21986	115516	14102725	303314	58931420	55763	152927	21064857	23667	0	94782797
4	85608	1512983	601359	41243345	7259466	203512117	2995530	3272923	49669697	689463	0	310842491
5	19130	91017	45064	23031297	129213	80595132	406797	289609	29342890	331377	0	134281526
6	5921224	5744497	3297710	60895099	31716132	356523360	31726689	15029059	67376544	4570554	0	582800868
7	3282360	2535290	1233454	115796774	3125425	229656790	11375079	5955521	91373140	9679863	0	474013696
8	50160	480756	546638	25867680	1926352	73199789	637113	1498934	34299308	356186	0	138862916
9	151779	197326	3206832	38756516	5252074	141981680	639439	2096587	87043063	432045	0	279757341
