label	group	precision	recall
3	9	0.0481	0.8327
7	9	0.0480	0.9135
9	9	0.0478	0.9561
0	9	0.0477	0.9621
5	9	0.0472	0.9741
2	9	0.0466	0.9853
1	9	0.0449	0.9965
4	9	0.0443	0.9993
6	9	0.0438	0.9997
8	9	0.0435	1.0000
6	8	0.4992	0.0420
7	8	0.2984	0.2120
1	8	0.2796	0.3061
2	8	0.2684	0.3408
0	8	0.2644	0.3507
8	8	0.2583	0.3601
3	8	0.1251	0.9660
4	8	0.1240	0.9754
5	8	0.1223	0.9840
9	8	0.1189	1.0000
9	7	0.3284	0.1090
7	7	0.3138	0.2841
5	7	0.3083	0.3308
3	7	0.1382	0.9494
4	7	0.1375	0.9623
0	7	0.1371	0.9668
2	7	0.1354	0.9763
1	7	0.1319	0.9972
6	7	0.1307	0.9989
8	7	0.1298	1.0000
3	6	0.0204	0.9425
0	6	0.0204	0.9498
7	6	0.0190	0.9725
9	6	0.0183	0.9839
2	6	0.0179	0.9893
5	6	0.0176	0.9941
1	6	0.0168	0.9983
4	6	0.0166	0.9997
8	6	0.0164	0.9999
6	6	0.0163	1.0000
3	5	0.4061	0.9966
2	5	0.3953	0.9970
5	5	0.3847	0.9974
7	5	0.3522	0.9986
1	5	0.3348	0.9992
0	5	0.3324	0.9993
9	5	0.3177	0.9998
4	5	0.3123	0.9999
8	5	0.3098	1.0000
6	5	0.3067	1.0000
4	4	0.6205	0.1112
5	4	0.5583	0.2293
6	4	0.5031	0.2601
7	4	0.2881	0.3770
8	4	0.2790	0.3890
9	4	0.2434	0.4509
0	4	0.2379	0.4577
1	4	0.2091	0.5040
3	4	0.0949	0.9887
2	4	0.0940	1.0000
2	3	0.0713	0.0255
3	3	0.0672	0.8938
7	3	0.0667	0.9725
0	3	0.0663	0.9745
5	3	0.0650	0.9798
1	3	0.0624	0.9909
6	3	0.0619	0.9928
9	3	0.0595	0.9979
4	3	0.0586	0.9998
8	3	0.0581	1.0000
0	2	0.4875	0.1342
2	2	0.2108	0.2385
6	2	0.1843	0.2845
8	2	0.1653	0.3099
7	2	0.0890	0.4396
4	2	0.0831	0.4680
1	2	0.0714	0.5366
9	2	0.0626	0.5816
5	2	0.0589	0.6002
3	2	0.0243	1.0000
1	1	0.0908	0.0666
3	1	0.0718	0.9195
9	1	0.0709	0.9562
8	1	0.0704	0.9595
4	1	0.0695	0.9662
2	1	0.0684	0.9733
5	1	0.0672	0.9802
7	1	0.0633	0.9981
0	1	0.0629	0.9991
6	1	0.0624	1.0000
8	0	0.5971	0.0329
2	0	0.4860	0.0959
1	0	0.4596	0.2346
9	0	0.4219	0.3398
4	0	0.3855	0.3549
3	0	0.1533	0.9310
7	0	0.1491	0.9818
5	0	0.1475	0.9930
0	0	0.1470	0.9961
6	0	0.1461	1.0000
