label	group	precision	recall
2	1	0.10814	0.388
7	1	0.02649	0.603
8	1	0.01922	0.774
4	1	0.01661	0.900
9	1	0.01529	0.927
0	1	0.01201	0.987
6	1	0.01170	0.989
3	1	0.01070	0.996
1	1	0.00976	0.999
5	1	0.00677	1.000
8	3	0.34517	0.285
3	3	0.30725	0.378
6	3	0.29817	0.400
9	3	0.27965	0.460
1	3	0.26166	0.544
2	3	0.25227	0.567
0	3	0.21016	0.685
4	3	0.19257	0.754
7	3	0.17454	0.841
5	3	0.14394	1.000
4	4	0.10316	0.374
0	4	0.07998	0.741
2	4	0.07651	0.781
7	4	0.06203	0.944
1	4	0.05457	0.962
9	4	0.05037	0.972
8	4	0.04176	0.998
6	4	0.04072	0.998
3	4	0.03735	0.999
5	4	0.02591	1.000
2	0	0.03275	0.165
4	0	0.02089	0.512
8	0	0.01847	0.908
0	0	0.01244	0.988
1	0	0.01074	0.992
7	0	0.00837	0.998
3	0	0.00761	0.999
9	0	0.00712	1.000
6	0	0.00696	1.000
5	0	0.00482	1.000
5	5	0.80050	0.425
7	5	0.77592	0.587
9	5	0.75718	0.630
6	5	0.75000	0.645
3	5	0.72465	0.696
1	5	0.70138	0.750
4	5	0.67319	0.829
8	5	0.62654	0.901
0	5	0.58339	0.986
2	5	0.57703	1.000
4	6	0.11139	0.520
8	6	0.07722	0.816
2	6	0.07258	0.854
7	6	0.05117	0.932
0	6	0.03844	0.979
3	6	0.03497	0.991
9	6	0.03262	0.995
1	6	0.02973	0.999
6	6	0.02904	0.999
5	6	0.02015	1.000
0	2	0.05595	0.760
2	2	0.05480	0.868
4	2	0.03762	0.925
8	2	0.02708	0.965
1	2	0.02367	0.981
7	2	0.01863	0.997
9	2	0.01735	0.999
3	2	0.01587	0.999
6	2	0.01550	1.000
5	2	0.01075	1.000
2	9	0.16186	0.355
8	9	0.06196	0.801
4	9	0.04019	0.861
0	9	0.02753	0.953
3	9	0.02435	0.971
7	9	0.01924	0.992
9	9	0.01796	0.997
1	9	0.01634	0.999
6	9	0.01596	0.999
5	9	0.01108	1.000
4	7	0.04543	0.282
0	7	0.03668	0.581
8	7	0.03195	0.757
7	7	0.02883	0.930
2	7	0.02817	0.954
1	7	0.02567	0.975
9	7	0.02419	0.988
3	7	0.02234	0.999
6	7	0.02184	0.999
5	7	0.01515	1.000
0	8	0.37387	0.296
1	8	0.35022	0.396
6	8	0.34356	0.419
3	8	0.32437	0.497
9	8	0.30983	0.548
8	8	0.26930	0.650
5	8	0.21025	0.857
4	8	0.19873	0.912
7	8	0.18644	0.987
2	8	0.18440	1.000
