# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	83005368	1099100	664500	589800	4974951	1255750	17133255	7225723	1701750	4779508	0	122429705
1	26087339	285260403	25440793	31894794	39447252	39907811	47537275	61361303	14022729	47634259	0	618593958
2	5823350	5839985	18758885	4329800	18773183	6371550	8846700	15907850	14133872	9441950	0	108227125
3	6739750	7112327	4385050	26869776	13372800	10272900	10827444	20551700	13485250	29623141	0	143240138
4	25763742	5855500	11192475	3576750	107743625	5617350	118997801	22174700	16380931	10616856	0	327919730
5	11244150	7942050	5494138	6416527	17372794	42249730	17070238	56297053	13486300	19223851	0	196796831
6	38049400	2744861	1789650	1839750	23981883	3865600	237319126	20882749	5428398	7138350	0	343039767
7	98276542	5153277	2947150	3563750	18958600	13679035	50132781	206959434	11073900	15799700	0	426544169
8	49449815	1832747	5026600	3721100	46876500	2990650	38446316	24610800	29121316	18557412	0	220633256
9	134969095	5598850	3027300	11980750	19340903	8071150	36489932	38042384	20028470	116942314	0	394491148
