# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	15734060	2227500	1204200	302282829	9532595	8307200	2814500	2785439	1819300	4332300	0	351039923
1	14374091	1883800	1143100	8379900	253923675	72361417	5886900	2737624	2754600	8989000	0	372434107
2	28898646	1647959	1185700	5658700	13250501	8918400	5010558	3223238	1552400	362331420	0	431677522
3	780000	4119600	1419300	2236600	1158600	13207931	1039500	5027408	148273492	1728600	0	178991031
4	891400	981800	2753400	1840700	2309700	4369300	159212108	3102100	1232400	15502828	0	192195736
5	260700	1165400	92840083	1360100	544600	3211600	4675500	3136400	1167900	1353100	0	109715383
6	138599921	106900	106200	899127	23084503	989100	195200	728600	212500	1297100	0	166219151
7	397000	94125041	2031200	10241400	1668400	2317300	1337300	3221200	1595700	1074900	0	118009441
8	1678500	6254200	4972900	2760500	2040900	6013182	3540900	668308961	5122563	3643707	0	704336313
9	4823041	1563500	1785200	4308000	3273200	224857889	3428300	2364600	8907300	4857200	0	260168230
