label	group	precision	recall
5	2	0.8462	0.848
7	2	0.4166	0.867
4	2	0.2325	0.892
3	2	0.1654	0.905
8	2	0.0798	0.950
9	2	0.0677	0.967
0	2	0.0559	0.978
1	2	0.0473	0.988
2	2	0.0402	0.999
6	2	0.0379	1.000
4	6	0.8284	0.851
5	6	0.5428	0.876
1	6	0.2518	0.907
9	6	0.1853	0.926
2	6	0.1304	0.952
7	6	0.1210	0.959
0	6	0.0994	0.974
3	6	0.0911	0.980
8	6	0.0688	0.999
6	6	0.0649	1.000
6	0	0.8338	0.671
2	0	0.2801	0.811
0	0	0.1931	0.888
1	0	0.1495	0.957
9	0	0.1280	0.981
4	0	0.1146	0.985
3	0	0.1045	0.989
7	0	0.0988	0.991
8	0	0.0743	0.999
5	0	0.0716	1.000
8	7	0.9488	0.962
5	7	0.8248	0.967
3	7	0.6812	0.974
7	7	0.6118	0.978
4	7	0.5239	0.983
9	7	0.4382	0.986
0	7	0.3593	0.990
2	7	0.2946	0.995
1	7	0.2552	0.999
6	7	0.2408	1.000
9	5	0.8643	0.653
1	5	0.4698	0.863
3	5	0.3825	0.901
5	5	0.3404	0.910
0	5	0.2530	0.934
4	5	0.2228	0.947
2	5	0.1768	0.973
7	5	0.1676	0.980
8	5	0.1264	0.997
6	5	0.1194	1.000
7	1	0.7976	0.825
3	1	0.3308	0.861
5	1	0.2444	0.871
8	1	0.0951	0.926
0	1	0.0738	0.946
9	1	0.0636	0.959
4	1	0.0577	0.968
1	1	0.0491	0.985
2	1	0.0419	0.999
6	1	0.0395	1.000
3	8	0.8284	0.859
9	8	0.3579	0.910
7	8	0.2850	0.920
5	8	0.2398	0.926
1	8	0.1565	0.942
8	8	0.0962	0.972
4	8	0.0873	0.979
0	8	0.0747	0.990
2	8	0.0634	0.999
6	8	0.0598	1.000
2	9	0.8394	0.894
4	9	0.6056	0.933
1	9	0.3883	0.955
9	9	0.3117	0.967
0	9	0.2464	0.978
5	9	0.2314	0.981
3	9	0.2105	0.985
7	9	0.1987	0.988
6	9	0.1841	0.991
8	9	0.1404	1.000
1	4	0.6818	0.817
6	4	0.5143	0.891
2	4	0.2991	0.934
0	4	0.2269	0.965
7	4	0.2094	0.970
9	4	0.1793	0.981
4	4	0.1623	0.988
3	4	0.1488	0.992
5	4	0.1416	0.993
8	4	0.1077	1.000
0	3	0.8611	0.889
7	3	0.6663	0.919
1	3	0.3814	0.944
9	3	0.2952	0.957
2	3	0.2158	0.973
3	3	0.1945	0.980
5	3	0.1836	0.984
4	3	0.1670	0.989
6	3	0.1547	0.992
8	3	0.1178	1.000
