# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	269568	4005674	6559	832	9752	184905	440988	6608688	22427	2684595	0	14233988
1	5617478	878	14654305	4409005	6640870	593021	19885	9438	4551	6395	0	31955826
2	309	5591399	25322	661172	12639	10587	89809	426	2959236	145000	0	9495899
3	13969216	230728	964506	7152864	5085940	102935	212231	1376131	936553	1301522	0	31332626
4	48140	241114	7076253	5614	144587	336847	20527565	26230	17524	2242975	0	30666849
5	640818	34147	653858	53631037	23077232	369856303	669539	1181676	74182	66090	0	449884882
6	15892	427652	1850	174021	185015	547432	9486348	3896159	2758614	10857557	0	28350540
7	3166025	16554	4535	20234	32229	414476	103350	2284579	12155	10952	0	6065089
8	50701	1521619	49789	27143552	121142	653280875	1179086	58467	9899283	124532	0	693429046
9	48056	95864	118724	78974	68610056	1467016268	13030590	42361	40110630	222123	0	1589373646
