# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	6523629	622237	402817	514855	2131616	739411	6151465	3711039	1084279	1944410	445	23826203
1	5206432	183972	126171	150742	677540	250663	2863472	1825165	338464	543008	0	12165629
2	9962452	299425	230753	306582	1591686	447100	5540700	2877322	854194	1445462	25	23555701
3	21667604	2983989	1923704	2394419	9609975	3519997	21593438	16341298	4772335	8470082	464	93277305
4	23225633	3462121	2223108	2701709	11017130	4050013	23877987	18583898	5432852	9344885	126	103919462
5	375921822	298923800	71547535	85902853	274069037	120966319	488063262	406289282	120594101	248016241	2049397	2492343649
6	10963230	1289971	856125	1053174	4422655	1607502	11291455	8383698	2182604	3708881	96	45759391
7	5288577	175583	119680	148775	698152	244370	5014377	2868284	347524	578806	27	15484155
8	12907878	1840692	1177129	1467825	5821611	2169984	13373098	10140415	2870455	5025971	97	56795155
9	7501999	161114	118398	140760	752592	272543	4845543	2900386	371837	596408	161	17661741
