label	group	precision	recall
2	9	0.09198	0.0173
9	9	0.08215	0.0271
3	9	0.07220	0.0777
6	9	0.07104	0.1024
4	9	0.06936	0.1576
8	9	0.06853	0.1869
0	9	0.06816	0.1989
7	9	0.06763	0.2057
1	9	0.06710	0.2106
5	9	0.04334	1.0000
7	8	0.07229	0.0480
0	8	0.05428	0.0915
9	8	0.04939	0.1206
1	8	0.04520	0.1340
2	8	0.03943	0.1567
6	8	0.03142	0.1865
8	8	0.02633	0.2204
3	8	0.02227	0.2755
4	8	0.01956	0.3291
5	8	0.00808	1.0000
6	7	0.10716	0.0227
7	7	0.10712	0.0304
3	7	0.10587	0.0757
4	7	0.10531	0.1260
8	7	0.10498	0.1532
9	7	0.10473	0.1614
0	7	0.10416	0.1720
2	7	0.10365	0.1825
1	7	0.10309	0.1873
5	7	0.07488	1.0000
7	6	0.10763	0.0574
9	6	0.09183	0.1049
1	6	0.08305	0.1297
0	6	0.06965	0.1659
2	6	0.05906	0.1886
6	6	0.04869	0.2323
8	6	0.04099	0.2757
3	6	0.03410	0.3390
4	6	0.02975	0.4023
5	6	0.01006	1.0000
7	5	0.04852	0.0119
9	5	0.04582	0.0240
2	5	0.04435	0.0398
6	5	0.04096	0.0664
3	5	0.03799	0.1177
0	5	0.03757	0.1306
8	5	0.03684	0.1612
4	5	0.03604	0.2169
1	5	0.03592	0.2231
5	5	0.02190	1.0000
7	4	0.08162	0.0259
9	4	0.07773	0.0527
1	4	0.07115	0.0660
2	4	0.06432	0.0906
0	4	0.05886	0.1116
6	4	0.05205	0.1474
8	4	0.04606	0.1840
3	4	0.04096	0.2417
4	4	0.03777	0.3032
5	4	0.01694	1.0000
5	3	0.78021	0.8982
4	3	0.77387	0.9281
8	3	0.77042	0.9442
3	3	0.76486	0.9703
6	3	0.76188	0.9826
0	3	0.75994	0.9885
2	3	0.75729	0.9933
1	3	0.75558	0.9953
7	3	0.75318	0.9975
9	3	0.75042	1.0000
2	2	0.10187	0.0398
9	2	0.10081	0.0689
1	2	0.08954	0.0792
7	2	0.07954	0.0908
0	2	0.06960	0.1069
3	2	0.05431	0.1674
6	2	0.05108	0.1962
4	2	0.04654	0.2589
8	2	0.04491	0.2921
5	2	0.02092	1.0000
7	1	0.12496	0.0146
9	1	0.11018	0.0275
2	1	0.09902	0.0423
0	1	0.09366	0.0568
6	1	0.08667	0.0825
3	1	0.08035	0.1329
1	1	0.07984	0.1394
8	1	0.07801	0.1696
4	1	0.07555	0.2234
5	1	0.04601	1.0000
1	0	0.21645	0.1358
9	0	0.14586	0.2243
7	0	0.11164	0.2608
2	0	0.08784	0.3118
0	0	0.07106	0.3396
6	0	0.05154	0.3679
8	0	0.03997	0.4023
3	0	0.03062	0.4554
4	0	0.02507	0.5072
5	0	0.00672	1.0000
