# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	537626	1927659	973454	12690342	1027011	811548	1052222	2292438	1014486	1498972	445	23826203
1	2633217	859768	624538	4319015	647660	393227	719601	1042466	311319	614818	0	12165629
2	990467	1962726	2399697	10388743	1205278	995623	659426	2256924	530124	2166668	25	23555701
3	1029817	6696743	3648664	56592730	2823760	3240694	1835106	9798143	1286122	6325062	464	93277305
4	1004192	7140747	3784397	64613449	3004092	3521446	1838755	10857614	1250504	6904140	126	103919462
5	9559550	103078324	42712013	1944545229	34059813	49076484	17347772	175563257	15646865	98705165	2049177	2492343649
6	549013	3403458	1737381	26679210	1749848	1681811	1266507	4903649	694601	3093817	96	45759391
7	707999	1934931	697985	4833323	1263800	751307	1666576	1656563	1119273	852371	27	15484155
8	668189	4005891	2002258	34811893	1786968	1933854	1261616	5876278	790032	3658079	97	56795155
9	1717425	1717082	1755515	5341935	1312561	767600	1377054	1772940	680095	1219373	161	17661741
