label	group	precision	recall
0	1	0.02155	0.366
4	1	0.01550	0.659
9	1	0.01139	0.864
3	1	0.00933	0.969
6	1	0.00822	0.980
5	1	0.00675	0.995
1	1	0.00636	0.998
2	1	0.00602	0.999
8	1	0.00555	1.000
7	1	0.00422	1.000
4	3	0.07345	0.245
5	3	0.06856	0.482
3	3	0.06586	0.703
0	3	0.06331	0.816
8	3	0.05921	0.872
1	3	0.05663	0.904
9	3	0.04804	0.975
6	3	0.04433	0.989
2	3	0.04235	0.994
7	3	0.03233	1.000
9	6	0.04397	0.389
0	6	0.04375	0.585
4	6	0.03719	0.750
5	6	0.03052	0.845
6	6	0.02818	0.895
3	6	0.02497	0.979
2	6	0.02371	0.986
8	6	0.02190	0.994
1	6	0.02086	0.998
7	6	0.01586	1.000
7	5	0.99804	0.278
2	5	0.99221	0.320
1	5	0.98745	0.364
8	5	0.98066	0.429
6	5	0.97014	0.497
3	5	0.94447	0.613
5	5	0.92348	0.727
9	5	0.90657	0.861
4	5	0.87946	0.945
0	5	0.86396	1.000
4	4	0.07839	0.234
9	4	0.07098	0.489
6	4	0.06695	0.582
5	4	0.06169	0.741
0	4	0.05910	0.827
3	4	0.05396	0.932
2	4	0.05252	0.962
8	4	0.04924	0.984
1	4	0.04721	0.995
7	4	0.03602	1.000
4	0	0.03309	0.432
0	0	0.02972	0.645
5	0	0.02472	0.894
8	0	0.02125	0.923
3	0	0.01667	0.961
9	0	0.01329	0.993
1	0	0.01252	0.995
6	0	0.01143	0.998
2	0	0.01087	0.999
7	0	0.00826	1.000
4	2	0.05852	0.772
0	2	0.03896	0.856
5	2	0.02618	0.958
3	2	0.01919	0.979
9	2	0.01454	0.992
8	2	0.01320	0.997
1	2	0.01242	0.998
6	2	0.01131	0.999
2	2	0.01075	1.000
7	2	0.00817	1.000
0	8	0.04787	0.174
9	8	0.04019	0.433
3	8	0.03596	0.603
4	8	0.03401	0.756
5	8	0.03160	0.894
6	8	0.03027	0.956
2	8	0.02896	0.970
1	8	0.02768	0.983
8	8	0.02585	0.997
7	8	0.01969	1.000
0	9	0.04433	0.518
4	9	0.02643	0.774
3	9	0.02013	0.977
9	9	0.01385	0.990
1	9	0.01275	0.993
5	9	0.01025	0.999
6	9	0.00925	0.999
8	9	0.00849	1.000
2	9	0.00806	1.000
7	9	0.00612	1.000
0	7	0.05149	0.686
4	7	0.02370	0.792
9	7	0.01507	0.898
5	7	0.01166	0.954
3	7	0.00947	0.983
8	7	0.00862	0.991
6	7	0.00784	0.995
1	7	0.00742	0.997
2	7	0.00706	0.998
7	7	0.00537	1.000
