# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	5090612	4449367	1966279	10525630	8971447	136831647	8940117	10629039	9882598	9150623	0	206437359
1	57147	39342	26678	2917168	1176556	108818821	215478	29098	739625	55787	0	114075700
2	25138	13347	9091	514059	3157746	104540692	340359	20811	817720	2320	0	109441283
3	925895	1275946	499688	20622570	10867444	288271193	3824854	449873	9644332	3586061	0	339967856
4	10283022	3566869	18185789	22826346	24363151	209144664	7552221	1627690	8714944	4521978	0	310786674
5	5926732	184170	2410736	22106941	16512054	284244048	4360231	870964	7841631	95812	0	344553319
6	60716	135089	26263	1283289	9640546	170083226	2305044	73102	3521195	12296	0	187140766
7	27086	3490	10405	515452	522058	693273323	80606	23564	177106	2480	0	694635570
8	680461	7443	124447	5296565	2256255	163062740	327237	112816	763332	6859	0	172638155
9	749377	2490539	296325	6669235	26452182	334072151	17813121	1647165	14692535	227525	0	405110155
