# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	105492	113992	48284	3575072	22177030	5713449	803280	5693190	74780	1134304	18	39438891
1	498278	650228	211792	3390486	6979698	1354306	11977914	2457566	277522	2019416	0	29817206
2	28930	14684	3658	2568498	74220	4361432	1725737	916878	2612	5378	14	9702041
3	895688	1025508	371716	3667250	48769671	713234	5640264	7201346	710172	15779035	32	84773916
4	16542	13026	10050	3880440	6137600	84978	267678	297682	11166	773082	19	11492263
5	37226	1027234	53046	13022287	1967290	1905208	13456006	1547152	100038	199134	60	33314681
6	3743506	2766536	394022	1889186	8943024	9875910	9307635	26310333	877746	2203072	27	66310997
7	851120	13155769	524654	2349688	28709734	12350426	61679026	6237838	1550996	1219308	95	128628654
8	772008	317870	81656	340322	1094656	6088067	1593702	1436112	35698	120036	0	11880127
9	73431349	93034102	1449038897	43348802	191464928	58276097	237541114	127258304	59820714	136214522	786	2469429615
