label	group	precision	recall
9	9	0.4538	0.9986
8	9	0.4516	0.9987
1	9	0.4463	0.9988
6	9	0.4350	0.9992
3	9	0.4213	0.9995
7	9	0.4020	0.9999
5	9	0.3973	0.9999
0	9	0.3918	1.0000
4	9	0.3903	1.0000
2	9	0.3890	1.0000
3	8	0.5914	0.1217
4	8	0.5837	0.1364
0	8	0.5631	0.1856
1	8	0.5097	0.2048
7	8	0.3764	0.2688
6	8	0.3401	0.2977
9	8	0.1442	0.9909
5	8	0.1435	0.9977
8	8	0.1432	0.9997
2	8	0.1428	1.0000
9	7	0.0288	0.9501
7	7	0.0281	0.9775
6	7	0.0277	0.9871
3	7	0.0271	0.9947
1	7	0.0268	0.9973
5	7	0.0266	0.9987
8	7	0.0265	0.9991
0	7	0.0261	0.9999
4	7	0.0260	1.0000
2	7	0.0259	1.0000
6	6	0.0664	0.0408
8	6	0.0643	0.0466
9	6	0.0411	0.9698
1	6	0.0408	0.9742
3	6	0.0399	0.9856
7	6	0.0385	0.9974
0	6	0.0381	0.9989
2	6	0.0379	0.9992
4	6	0.0378	0.9994
5	6	0.0374	1.0000
6	5	0.4309	0.1105
0	5	0.3457	0.1414
8	5	0.3278	0.1492
2	5	0.3148	0.1550
1	5	0.2741	0.1666
3	5	0.2104	0.1969
7	5	0.1673	0.2398
9	5	0.0901	0.9897
5	5	0.0898	0.9986
4	5	0.0896	1.0000
5	4	0.3917	0.1354
2	4	0.3830	0.1709
4	4	0.3725	0.2107
0	4	0.2771	0.2701
1	4	0.2411	0.3096
8	4	0.2256	0.3175
6	4	0.1702	0.3566
3	4	0.1302	0.3873
7	4	0.1006	0.4335
9	4	0.0334	1.0000
3	3	0.1440	0.0678
9	3	0.0676	0.9588
4	3	0.0675	0.9623
1	3	0.0674	0.9713
6	3	0.0665	0.9831
0	3	0.0659	0.9888
7	3	0.0635	0.9981
8	3	0.0633	0.9988
5	3	0.0626	1.0000
2	3	0.0624	1.0000
8	2	0.4747	0.0608
2	2	0.4037	0.0939
7	2	0.1631	0.2640
0	2	0.1458	0.2980
6	2	0.1230	0.3392
1	2	0.1153	0.3552
5	2	0.1071	0.3684
4	2	0.1043	0.3716
9	2	0.0324	0.9792
3	2	0.0322	1.0000
7	1	0.4040	0.1336
5	1	0.3964	0.1651
1	1	0.3891	0.1919
2	1	0.3779	0.1958
6	1	0.3153	0.2171
8	1	0.3071	0.2209
9	1	0.1387	0.9806
3	1	0.1368	0.9969
4	1	0.1363	0.9976
0	1	0.1348	1.0000
7	0	0.1056	0.0896
9	0	0.0561	0.9607
5	0	0.0558	0.9690
6	0	0.0553	0.9847
8	0	0.0552	0.9867
1	0	0.0549	0.9913
3	0	0.0536	0.9990
0	0	0.0529	0.9998
2	0	0.0528	0.9999
4	0	0.0526	1.0000
