label	group	precision	recall
2	6	0.08989	0.03005
4	6	0.08406	0.06138
5	6	0.06541	0.12284
8	6	0.06244	0.14282
0	6	0.05345	0.19488
1	6	0.04950	0.23136
6	6	0.04211	0.29300
7	6	0.03214	0.36608
3	6	0.02878	0.41183
9	6	0.01006	1.00000
6	7	0.11071	0.03398
0	7	0.10988	0.05379
1	7	0.10955	0.06875
5	7	0.10853	0.08484
3	7	0.10603	0.12450
7	7	0.10393	0.18393
4	7	0.10354	0.18874
2	7	0.10309	0.19255
8	7	0.10240	0.19688
9	7	0.07488	1.00000
8	2	0.13062	0.02572
0	2	0.07269	0.06183
2	2	0.06845	0.06923
1	2	0.06040	0.09093
6	2	0.05202	0.13550
7	2	0.04684	0.22184
3	2	0.04492	0.27588
5	2	0.04411	0.29528
4	2	0.04384	0.30183
9	2	0.02092	1.00000
9	3	0.78091	0.89080
7	3	0.77337	0.92814
3	3	0.76866	0.95259
6	3	0.76396	0.97016
1	3	0.76156	0.97761
5	3	0.75863	0.98552
0	3	0.75508	0.99467
4	3	0.75382	0.99701
8	3	0.75206	0.99881
2	3	0.75042	1.00000
4	1	0.09287	0.00804
5	1	0.09060	0.03059
0	1	0.08892	0.05644
2	1	0.08829	0.06249
1	1	0.08650	0.08066
6	1	0.08321	0.11917
3	1	0.07880	0.16318
8	1	0.07833	0.16923
7	1	0.07446	0.23300
9	1	0.04601	1.00000
4	8	0.07682	0.03785
2	8	0.05963	0.05419
5	8	0.04551	0.10636
0	8	0.03629	0.14618
8	8	0.03481	0.15795
1	8	0.03123	0.18164
6	8	0.02604	0.22547
3	8	0.02215	0.27235
7	8	0.01899	0.33817
9	8	0.00808	1.00000
0	9	0.07421	0.02341
1	9	0.07298	0.04042
8	9	0.07263	0.04713
6	9	0.07097	0.08369
3	9	0.06979	0.12961
7	9	0.06802	0.19630
5	9	0.06715	0.21170
4	9	0.06672	0.21646
2	9	0.06623	0.22001
9	9	0.04334	1.00000
2	0	0.23918	0.11963
8	0	0.19254	0.21422
4	0	0.13908	0.23714
0	0	0.07666	0.28658
5	0	0.05958	0.32507
1	0	0.04976	0.34797
6	0	0.03797	0.39537
7	0	0.02776	0.47302
3	0	0.02400	0.51381
9	0	0.00672	1.00000
2	4	0.07175	0.01424
8	4	0.06799	0.03002
4	4	0.06506	0.04402
5	4	0.05621	0.07634
1	4	0.05318	0.10467
0	4	0.05109	0.14177
6	4	0.04590	0.18964
3	4	0.04066	0.23849
7	4	0.03677	0.31248
9	4	0.01694	1.00000
0	5	0.04101	0.02560
1	5	0.04042	0.04431
5	5	0.03983	0.06466
6	5	0.03893	0.10406
2	5	0.03872	0.10945
4	5	0.03845	0.11568
8	5	0.03817	0.12203
3	5	0.03675	0.16680
7	5	0.03538	0.23264
9	5	0.02190	1.00000
