label	group	precision	recall
3	0	0.4540	0.1716
5	0	0.3470	0.3004
7	0	0.2407	0.4176
6	0	0.1740	0.5918
4	0	0.1415	0.6983
2	0	0.0785	0.9392
1	0	0.0766	0.9575
0	0	0.0753	0.9706
9	0	0.0727	0.9930
8	0	0.0716	1.0000
4	4	0.3901	0.3970
5	4	0.3433	0.4607
7	4	0.2759	0.5294
6	4	0.2134	0.6457
1	4	0.2011	0.6809
0	4	0.1936	0.7058
9	4	0.1810	0.7529
3	4	0.1748	0.7708
8	4	0.1700	0.7843
2	4	0.1077	1.0000
8	2	0.1056	0.0613
1	2	0.0880	0.1412
2	2	0.0513	0.7627
6	2	0.0477	0.8580
9	2	0.0462	0.9001
0	2	0.0456	0.9204
5	2	0.0444	0.9368
7	2	0.0421	0.9583
4	2	0.0387	0.9936
3	2	0.0379	1.0000
7	3	0.4363	0.2302
5	3	0.3802	0.3133
0	3	0.3526	0.3739
8	3	0.3190	0.3978
1	3	0.2791	0.4401
9	3	0.2440	0.4994
6	3	0.1901	0.5813
2	3	0.1259	0.9222
4	3	0.1198	0.9894
3	3	0.1178	1.0000
9	5	0.3211	0.1488
4	5	0.2896	0.4001
8	5	0.2748	0.4303
1	5	0.2537	0.4798
0	5	0.2403	0.5104
3	5	0.2269	0.5334
7	5	0.2032	0.5834
6	5	0.1755	0.6791
2	5	0.1226	0.9904
5	5	0.1194	1.0000
9	8	0.1632	0.1510
8	8	0.1455	0.1881
2	8	0.0776	0.7525
4	8	0.0749	0.8631
0	8	0.0742	0.8905
3	8	0.0734	0.9132
1	8	0.0712	0.9322
7	8	0.0676	0.9553
6	8	0.0617	0.9950
5	8	0.0598	1.0000
6	9	0.4144	0.3519
1	9	0.3693	0.4158
3	9	0.3457	0.4558
8	9	0.3231	0.4767
9	9	0.2782	0.5201
5	9	0.2579	0.5462
0	9	0.2447	0.5669
2	9	0.1547	0.9121
7	9	0.1492	0.9459
4	9	0.1404	1.0000
2	7	0.4468	0.9332
8	7	0.4319	0.9415
0	7	0.4131	0.9483
9	7	0.3796	0.9586
1	7	0.3590	0.9645
6	7	0.3079	0.9797
3	7	0.2982	0.9824
5	7	0.2866	0.9857
7	7	0.2681	0.9913
4	7	0.2408	1.0000
1	6	0.1886	0.1130
8	6	0.1670	0.1567
6	6	0.1250	0.3471
2	6	0.0799	0.8417
0	6	0.0789	0.8645
5	6	0.0776	0.8923
9	6	0.0754	0.9311
3	6	0.0738	0.9418
7	6	0.0703	0.9655
4	6	0.0649	1.0000
0	1	0.1806	0.1273
8	1	0.1272	0.1604
7	1	0.0873	0.2475
2	1	0.0524	0.8145
9	1	0.0513	0.8697
1	1	0.0499	0.8948
5	1	0.0485	0.9126
6	1	0.0438	0.9565
4	1	0.0404	0.9933
3	1	0.0395	1.0000
