# mode=bases
	0	1	2	3	4	5	6	7	8	9	none	total
0	2702902	14518916	2220910	20612220	7715104	10523166	4262130	4731791	4715570	8377430	0	80380139
1	3772760	2865680	8744850	14358584	10949045	17064480	21141248	4044440	3278320	25899542	0	112118949
2	49742330	64681505	68021383	115896316	67045225	107273439	92555585	648239679	97437385	139844503	425	1450737775
3	35426072	768300	700970	3620180	5568780	7942459	2004730	1854030	3933370	16213140	0	78032031
4	21980889	4188839	3861310	22824001	123391505	86588712	6456730	6022330	19102946	21900553	36	316317851
5	26597936	2032170	1796830	28237622	19797410	3308510	5209180	2301170	866690	10575589	0	100723107
6	35956283	5012690	10435390	27850151	36157841	32951080	35634713	10585760	6857520	142550886	42	343992356
7	24191137	9936050	2354990	78258242	21327900	17224330	4432540	3930140	3975600	13725472	0	179356401
8	1436670	3776330	6703990	8143030	4172490	10412340	8187000	5782010	6409714	8437870	0	63461444
9	4630380	6295220	4600660	20167510	14661374	51264803	7256910	7144220	26061040	17585170	0	159667287
